username,split,user_has_positive_window,num_positive_windows,num_negative_windows
zhi.ting_0920,train,0,0,3
daidaimeme.pdf,train,0,0,3
pet713713,train,0,0,3
xiangling_0802,train,0,0,3
chuchuchen0522,train,0,0,3
xuan_f0116.m0303,train,1,3,3
foodie.bongbong,train,0,0,3
sh_tree_,train,0,0,3
huanhuan_drawing,train,1,3,0
vesper_615,train,1,3,0
help_.me54,train,1,3,0
jade.vegan.life,train,0,0,3
kabi_happy_eat,train,0,0,3
jie__rou__comic,train,0,0,3
edachen_yun,train,0,0,3
pei.words,train,0,0,3
bk.liao,train,0,0,3
lulala_0123,train,0,0,3
yearandyear7_,train,1,3,0
milk821125,train,0,0,3
udntourtheworld_,train,0,0,3
elitesinsider,train,0,0,3
shuyu.minmin,train,1,3,3
miem29664,train,0,0,3
skyfoodie.mo,train,0,0,3
hopelessness_77_1118,train,1,3,0
food_share_anywhere,train,0,0,3
na.to.heart,train,0,0,3
hanburger_itjan,train,1,3,3
goooo9t,train,0,0,3
barbielee1004,train,0,0,3
dep_tattoos,train,0,0,3
taiwanfoodeat,train,0,0,3
jenny_7258,train,0,0,3
sp1cy_jar,train,1,2,3
hao_emo520,train,0,0,3
alichan.o,train,0,0,3
auroratravelergo,train,0,0,3
adela.writing,train,1,3,3
imika_sumi_garden,train,0,0,3
156.melody,train,0,0,3
bambooxun,train,0,0,3
taichung.news88,train,0,0,3
md_notes,train,1,3,0
yeye_dietitian,train,0,0,3
bearbearxkoala,train,0,0,3
depression_494,train,1,3,0
luver_on_crescent,train,0,0,3
ninaa0821,train,0,0,3
timton_footew,train,0,0,3
my_cutieee_,train,0,0,3
a0962049992,train,0,0,3
nata_reading,train,1,3,3
hi_lo_memes,train,0,0,3
yzu_ebba,train,0,0,3
_midleave_,train,1,1,3
snow1111726,train,0,0,3
neko_wumiao,train,1,3,3
rtv_runningteam,train,0,0,3
lovelie_words,train,1,1,0
finding.joy.bear,train,0,0,3
little.dai_foodie,train,0,0,3
trojan_li,train,1,2,3
bussinfooddiary,train,0,0,3
ella740302,train,0,0,3
fourestvibe,train,0,0,3
ketsusose,train,1,3,2
sosobing678,train,0,0,3
taichung.life88,train,0,0,3
drownedep,train,1,3,0
agoodday88,train,0,0,3
emo.girl.1314,train,0,0,3
foodie_tuna0415,train,0,0,3
c.chienc,train,1,3,3
educationone_official,train,0,0,3
whoisme_mdd,train,1,3,0
mr.w_write_,train,0,0,3
chrischan_1785,train,0,0,0
lovesky_0166,train,1,3,0
yysu7515,train,0,0,3
firedragonfruit_dw,train,0,0,3
si_je_meurs,train,1,3,3
grow_study_,train,0,0,3
little.nurse.foodie,train,0,0,3
dreamqueen_poem,train,1,3,3
hongpeishuo,train,0,0,3
junchen_writing_,train,1,3,0
superbearloveeat,train,0,0,3
nox_yoruni,train,0,0,0
frog_egghead,train,0,0,3
owendean___,train,0,0,3
ethanliu.tw,train,1,1,3
yuluquotes_,train,0,0,3
photo.dassu_00,train,0,0,3
tuanzi.io,train,1,3,0
shadoweffect_writing,train,1,3,3
lou__y,train,1,2,3
orlando_1218,train,0,0,3
fallstar_0022,train,1,3,0
yukyukyukee,train,0,0,3
healing.matters_,train,1,3,3
freedom122021,train,0,0,3
matcha_growth,train,1,3,3
_kana.words_,train,1,3,0
hellotuday_,train,0,0,3
the_trip_addict,train,0,0,3
chitchatnonstop,train,0,0,3
foodie_nana_,train,0,0,3
jiminin185,train,0,0,3
cosplaykelly25,train,0,0,3
eatingouttw,train,0,0,3
i_can_do_it_9502,train,1,3,0
baoiicp,train,0,0,3
thepotatocouple.ch,train,0,0,3
starmood_life,val,1,1,3
dingtaxi_jp,val,0,0,3
914_planet,val,0,0,3
eileen.ginsui,val,1,3,3
foodjiwara,val,0,0,3
depression_meem,val,1,3,1
selfhelp.tw,val,0,0,0
fantasia.1209,val,0,0,0
food.nius,val,0,0,3
painwords.yan,val,1,3,3
ch_20.9,val,1,3,0
york040147,val,1,3,0
gladys.tsai,val,0,0,3
janniedudu,val,0,0,3
youfat_tw,val,0,0,3
thepetpope,val,0,0,3
keke.lifediary,val,0,0,3
_lydiawong,val,0,0,3
eatchiang__,val,0,0,3
choboo_theshiba,val,0,0,3
eatwithdumbo,val,0,0,3
depression_no_heart,val,1,3,0
yisin._.1201,val,0,0,3
taste_of_kjie,val,0,0,3
thirty6____,test,1,3,3
icrybutitsokdude,test,0,0,0
voracious.foodie,test,0,0,3
kidbegin,test,0,0,3
owltaboo,test,1,2,0
social.dict,test,0,0,3
singwizdep,test,1,3,3
m_m12150605,test,1,3,3
tainan_food,test,0,0,3
poem_chao,test,1,3,3
truthdict,test,0,0,3
so_hungryyyun,test,0,0,3
keke_foodietw,test,0,0,3
lingluo_hope,test,1,3,0
jason_food_,test,0,0,3
lazychoisum,test,1,3,3
nccueater,test,0,0,3
zongyi0929,test,0,0,3
ohyounglife,test,0,0,3
ooodovobooo,test,0,0,3
lueg0810,test,0,0,3
yutingchouart,test,0,0,3
leslie.gourmet,test,0,0,3
tula__princess,test,0,0,2
depressy.trouble,test,1,3,3
