author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
pilikang,0,1,0,FN,0.0612388388805221,0.3377087362054896,-0.27646989732496746,0.27646989732496746,0.9387611611194779,58,64,0.90625,1.0,0.0
ed.stories,3,0,1,FP,0.9382485638466918,0.5230274241234272,0.4152211397232646,0.4152211397232646,0.9382485638466918,64,64,1.0,1.0,0.0
si_je_meurs,3,1,0,FN,0.063907145610111,0.5230274241234272,-0.45912027851331616,0.45912027851331616,0.936092854389889,59,64,0.921875,1.0,0.0
depression_meem,3,1,0,FN,0.0806283564147476,0.5230274241234272,-0.4423990677086796,0.4423990677086796,0.9193716435852524,53,53,0.828125,0.828125,11.0
iamfinety2.0,0,0,1,FP,0.9107314588227756,0.3377087362054896,0.573022722617286,0.573022722617286,0.9107314588227756,64,64,1.0,1.0,0.0
knowmi_0.0,0,0,1,FP,0.90957003699769,0.3377087362054896,0.5718613007922004,0.5718613007922004,0.90957003699769,63,64,0.984375,1.0,0.0
yuwen0099,4,1,0,FN,0.090975414039449,0.3484527497514231,-0.25747733571197406,0.25747733571197406,0.909024585960551,64,64,1.0,1.0,0.0
lam_word,0,0,1,FP,0.908911426246945,0.3377087362054896,0.5712026900414554,0.5712026900414554,0.908911426246945,64,64,1.0,1.0,0.0
m_m12150605,3,1,0,FN,0.0915018417839109,0.5230274241234272,-0.43152558233951627,0.43152558233951627,0.9084981582160891,64,64,1.0,1.0,0.0
saya_wolf0309,3,1,0,FN,0.1290136979734483,0.5230274241234272,-0.39401372614997887,0.39401372614997887,0.8709863020265517,64,64,1.0,1.0,0.0
trojan_li,1,1,0,FN,0.1301046993092777,0.3226178336968301,-0.1925131343875524,0.1925131343875524,0.8698953006907223,63,64,0.984375,1.0,0.0
fenkychen0827,4,1,0,FN,0.1316937181451784,0.3484527497514231,-0.21675903160624468,0.21675903160624468,0.8683062818548216,64,64,1.0,1.0,0.0
c.chienc,4,1,0,FN,0.1376486414609869,0.3484527497514231,-0.2108041082904362,0.2108041082904362,0.8623513585390131,64,64,1.0,1.0,0.0
suzannebirds,1,1,0,FN,0.1396825872602134,0.3226178336968301,-0.1829352464366167,0.1829352464366167,0.8603174127397866,55,64,0.859375,1.0,0.0
na.to.heart,0,0,1,FP,0.8533114233528094,0.3377087362054896,0.5156026871473198,0.5156026871473198,0.8533114233528094,64,64,1.0,1.0,0.0
zhuangcaiyu_,1,1,0,FN,0.1469349832548388,0.3226178336968301,-0.1756828504419913,0.1756828504419913,0.8530650167451612,31,34,0.484375,0.53125,30.0
zoezoeliao,3,1,0,FN,0.1834907436154494,0.5230274241234272,-0.3395366805079778,0.3395366805079778,0.8165092563845506,64,64,1.0,1.0,0.0
elitesinsider,1,0,1,FP,0.8092561941623321,0.3226178336968301,0.48663836046550196,0.48663836046550196,0.8092561941623321,64,64,1.0,1.0,0.0
who.loved.by.jesus,0,0,1,FP,0.8077420461116196,0.3377087362054896,0.47003330990613,0.47003330990613,0.8077420461116196,22,64,0.34375,1.0,0.0
yi_wen_even,3,1,0,FN,0.1954169378262196,0.5230274241234272,-0.32761048629720757,0.32761048629720757,0.8045830621737804,64,64,1.0,1.0,0.0
yy20000315,1,1,0,FN,0.1986366005977136,0.3226178336968301,-0.12398123309911652,0.12398123309911652,0.8013633994022864,64,64,1.0,1.0,0.0
annielo0205,1,1,0,FN,0.204619393324618,0.3226178336968301,-0.1179984403722121,0.1179984403722121,0.795380606675382,63,64,0.984375,1.0,0.0
mindfullyhk,3,1,0,FN,0.2222819686407794,0.5230274241234272,-0.30074545548264775,0.30074545548264775,0.7777180313592206,62,64,0.96875,1.0,0.0
xyyc18.02,0,1,0,FN,0.2230021024733084,0.3377087362054896,-0.11470663373218118,0.11470663373218118,0.7769978975266916,50,56,0.78125,0.875,8.0
truelove_goodtv.official,1,0,1,FP,0.7561735994550223,0.3226178336968301,0.43355576575819216,0.43355576575819216,0.7561735994550223,64,64,1.0,1.0,0.0
ethanliu.tw,0,1,0,FN,0.248496027230681,0.3377087362054896,-0.08921270897480857,0.08921270897480857,0.751503972769319,64,64,1.0,1.0,0.0
talkheart_1999,1,1,0,FN,0.2734371015927913,0.3226178336968301,-0.04918073210403884,0.04918073210403884,0.7265628984072088,21,21,0.328125,0.328125,43.0
michellehojuyun,3,1,0,FN,0.2797546739105644,0.5230274241234272,-0.24327275021286277,0.24327275021286277,0.7202453260894356,63,64,0.984375,1.0,0.0
ksitigarbha_dizangwang,4,0,1,FP,0.7187582126011004,0.3484527497514231,0.3703054628496773,0.3703054628496773,0.7187582126011004,64,64,1.0,1.0,0.0
kimi_hello,4,0,1,FP,0.6926880809922434,0.3484527497514231,0.34423533124082034,0.34423533124082034,0.6926880809922434,64,64,1.0,1.0,0.0
jiali0624,0,1,0,FN,0.3196005188494282,0.3377087362054896,-0.018108217356061385,0.018108217356061385,0.6803994811505718,60,64,0.9375,1.0,0.0
dep_tattoos,0,0,1,FP,0.658820926033377,0.3377087362054896,0.3211121898278875,0.3211121898278875,0.658820926033377,64,64,1.0,1.0,0.0
will_be._.fine,3,1,0,FN,0.3555110414063983,0.5230274241234272,-0.1675163827170289,0.1675163827170289,0.6444889585936018,64,64,1.0,1.0,0.0
esther_ann9453,2,0,1,FP,0.6076990785836246,0.1330126093082226,0.47468646927540203,0.47468646927540203,0.6076990785836246,38,38,0.59375,0.59375,26.0
owendean___,2,0,1,FP,0.5855364529621347,0.1330126093082226,0.4525238436539122,0.4525238436539122,0.5855364529621347,64,64,1.0,1.0,0.0
sundaymingpao,2,0,1,FP,0.5667534524980681,0.1330126093082226,0.4337408431898455,0.4337408431898455,0.5667534524980681,64,64,1.0,1.0,0.0
fpcchannel.tomi,4,0,1,FP,0.5636942762641101,0.3484527497514231,0.21524152651268696,0.21524152651268696,0.5636942762641101,64,64,1.0,1.0,0.0
alichan.o,0,0,1,FP,0.5412931948172303,0.3377087362054896,0.20358445861174068,0.20358445861174068,0.5412931948172303,21,21,0.328125,0.328125,43.0
new_life_lulu,3,1,0,FN,0.459624089278899,0.5230274241234272,-0.0634033348445282,0.0634033348445282,0.540375910721101,43,45,0.671875,0.703125,19.0
c_laura_33,0,0,1,FP,0.5227844259989362,0.3377087362054896,0.18507568979344657,0.18507568979344657,0.5227844259989362,56,56,0.875,0.875,8.0
vickyweiskin,1,0,1,FP,0.4807443196132419,0.3226178336968301,0.15812648591641176,0.15812648591641176,0.4807443196132419,63,64,0.984375,1.0,0.0
kidbegin,0,0,1,FP,0.4798237255420088,0.3377087362054896,0.14211498933651923,0.14211498933651923,0.4798237255420088,64,64,1.0,1.0,0.0
imika_sumi_garden,1,0,1,FP,0.4666727529530796,0.3226178336968301,0.14405491925624947,0.14405491925624947,0.4666727529530796,45,45,0.703125,0.703125,19.0
psylee01,2,0,1,FP,0.4365833257370131,0.1330126093082226,0.3035707164287905,0.3035707164287905,0.4365833257370131,59,64,0.921875,1.0,0.0
yihsuan7895,2,0,1,FP,0.4274722198411013,0.1330126093082226,0.2944596105328787,0.2944596105328787,0.4274722198411013,64,64,1.0,1.0,0.0
____zy.shihyun,1,0,1,FP,0.4185708546736072,0.3226178336968301,0.0959530209767771,0.0959530209767771,0.4185708546736072,61,61,0.953125,0.953125,3.0
