author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
hao_emo520,1,0,0,TN,0.3225074374637849,0.3226178336968301,-0.00011039623304520685,0.00011039623304520685,0.6774925625362151,64,64,1.0,1.0,0.0
janniedudu,2,0,1,FP,0.1341895207519592,0.1330126093082226,0.0011769114437366057,0.0011769114437366057,0.1341895207519592,49,49,0.765625,0.765625,15.0
sam945wang,2,0,0,TN,0.1304341590553323,0.1330126093082226,-0.002578450252890302,0.002578450252890302,0.8695658409446677,23,64,0.359375,1.0,0.0
timton_footew,2,0,1,FP,0.1362131164505838,0.1330126093082226,0.0032005071423611975,0.0032005071423611975,0.1362131164505838,27,28,0.421875,0.4375,36.0
a900243b,2,0,1,FP,0.1364877972878248,0.1330126093082226,0.0034751879796022234,0.0034751879796022234,0.1364877972878248,64,64,1.0,1.0,0.0
tea0922,2,0,0,TN,0.1276505942849992,0.1330126093082226,-0.005362015023223393,0.005362015023223393,0.8723494057150007,57,64,0.890625,1.0,0.0
egghead__studio,2,0,0,TN,0.125477473548109,0.1330126093082226,-0.0075351357601135815,0.0075351357601135815,0.874522526451891,64,64,1.0,1.0,0.0
the_bard_mo,1,0,0,TN,0.3150520192409518,0.3226178336968301,-0.007565814455878339,0.007565814455878339,0.6849479807590482,52,64,0.8125,1.0,0.0
pei.words,2,0,1,FP,0.1418922006165956,0.1330126093082226,0.008879591308373014,0.008879591308373014,0.1418922006165956,40,40,0.625,0.625,24.0
rb_world,4,0,0,TN,0.3365994574787034,0.3484527497514231,-0.011853292272719695,0.011853292272719695,0.6634005425212965,45,46,0.703125,0.71875,18.0
yvonne51srra,2,0,0,TN,0.1210794853007614,0.1330126093082226,-0.011933124007461188,0.011933124007461188,0.8789205146992386,64,64,1.0,1.0,0.0
mr_bigbigsmart,2,0,1,FP,0.1450358028556884,0.1330126093082226,0.01202319354746581,0.01202319354746581,0.1450358028556884,64,64,1.0,1.0,0.0
ooodovobooo,2,0,0,TN,0.1205621099625059,0.1330126093082226,-0.012450499345716695,0.012450499345716695,0.8794378900374941,30,30,0.46875,0.46875,34.0
sheiiy25918,2,0,0,TN,0.1184680844413716,0.1330126093082226,-0.014544524866850997,0.014544524866850997,0.8815319155586284,53,53,0.828125,0.828125,11.0
jiali0624,0,1,0,FN,0.3196005188494282,0.3377087362054896,-0.018108217356061385,0.018108217356061385,0.6803994811505718,60,64,0.9375,1.0,0.0
ryy.1988,2,0,0,TN,0.1133923047369285,0.1330126093082226,-0.019620304571294087,0.019620304571294087,0.8866076952630715,24,25,0.375,0.390625,39.0
anncheng.tw,2,0,0,TN,0.1124273551571993,0.1330126093082226,-0.02058525415102329,0.02058525415102329,0.8875726448428007,63,64,0.984375,1.0,0.0
mao.ni_,4,1,1,TP,0.3713015216455591,0.3484527497514231,0.022848771894135977,0.022848771894135977,0.3713015216455591,19,20,0.296875,0.3125,44.0
xiangling_0802,2,0,0,TN,0.108120124025199,0.1330126093082226,-0.024892485283023597,0.024892485283023597,0.891879875974801,64,64,1.0,1.0,0.0
hi_lo_memes,2,0,1,FP,0.1639468968125946,0.1330126093082226,0.03093428750437202,0.03093428750437202,0.1639468968125946,64,64,1.0,1.0,0.0
