feature,mean_abs_shap,mean_shap
text_probability,0.3063783542944812,-0.002389634800619217
delta_p,0.03247931194308139,0.00286557749010959
abs_delta_p,0.001003936859514964,0.0004396292434966742
max_similarity,0.0007841162676300526,-4.00965794460972e-05
sd_similarity,0.0004862363270993515,-0.00014251327130217767
min_similarity,0.00029110710091873016,-5.3385688993332085e-05
median_similarity,0.000270529472817325,-4.022252594389978e-05
similarity_iqr,0.00021454537753727373,-3.574463757837253e-05
low_alignment_ratio,0.00015684044745405663,-2.1276929048198196e-05
text_valid_count,0.00015444337867017796,-1.2589343714827272e-05
high_alignment_ratio,9.542761342150861e-05,-3.0051457408469612e-05
mean_similarity,9.353957898562403e-05,-8.858490531501659e-06
text_valid_ratio,9.242191521414594e-05,-1.0093816665593583e-05
padding_amount,8.245310265170625e-05,-1.690795370074884e-05
valid_post_count,7.087523417486651e-05,-1.0980577695240443e-05
image_valid_count,5.113457882702261e-05,-7.010087831600065e-06
image_valid_ratio,5.060872221894664e-05,-1.0002519698145107e-05
