feature,mean_abs_shap,mean_shap
sd_similarity,0.054215588894978135,-0.006293076069403538
similarity_iqr,0.05247733276147822,-0.0007764860029907938
max_similarity,0.050072586105874554,-0.00458767547181491
median_similarity,0.02828234213685425,0.0036065203921430687
high_alignment_ratio,0.015292422900252548,0.004158996133806562
min_similarity,0.013324665977472543,0.001209147241896342
low_alignment_ratio,0.011079099439824434,-8.380158135079325e-05
mean_similarity,0.010406970644167223,0.002582846773966393
valid_post_count,0.0012680474166929432,0.00024185000217859714
text_valid_count,0.0011174609302134699,-5.7754860250268334e-05
text_valid_ratio,0.0010502233534662063,7.71776676401563e-05
padding_amount,0.0006467306642163671,8.493181041963527e-05
image_valid_count,0.0005754855071956187,9.416060543981775e-05
image_valid_ratio,0.0004408459280219949,9.180360541959603e-06
