feature,rf_feature_importance,permutation_importance_mean,permutation_importance_std
text_probability,0.9689964272479716,1.8825830992322592,0.11898357522583168
delta_p,0.027826320876473475,0.04671094873787505,0.0033625943429144976
abs_delta_p,0.001079851194957748,0.0009983036009274637,0.00010169108225387464
max_similarity,0.00035295790060139445,0.00020490131770109165,5.300225768348057e-05
min_similarity,0.00034530545505219424,0.00015658772381553775,4.403363017920208e-05
sd_similarity,0.0002867832076444204,0.0001323386609269228,4.258887281255555e-05
similarity_iqr,0.0002730529578105492,0.00010977714008208794,2.9009573467520727e-05
median_similarity,0.00017330597951790833,5.270717233865296e-05,2.796094190480605e-05
high_alignment_ratio,0.00010596886051287286,4.6617165888753754e-05,1.712553543107628e-05
low_alignment_ratio,0.00010541886724793663,4.464607534272025e-05,1.9474321531761228e-05
text_valid_count,9.911697836000915e-05,3.562825412507298e-05,1.4180769200621866e-05
text_valid_ratio,7.611434261830219e-05,3.0174743926441038e-05,8.810012351564352e-06
mean_similarity,8.367245566932974e-05,2.6507742094905585e-05,7.20234702181421e-06
padding_amount,6.633727703748394e-05,2.406922364484032e-05,7.393747010311244e-06
valid_post_count,5.092158558884542e-05,2.3326737737716653e-05,6.3092968140610384e-06
image_valid_ratio,3.972359520981049e-05,1.4296138691562988e-05,5.618983758706298e-06
image_valid_count,3.8721217726010246e-05,1.3815423573273477e-05,5.069897993140088e-06
