feature,rf_feature_importance,permutation_importance_mean,permutation_importance_std
similarity_iqr,0.2528153655390517,0.24076888889516446,0.02213545163833298
max_similarity,0.14983655771895385,0.2310326752471881,0.02599036271832775
sd_similarity,0.22118156340595116,0.15302581026013284,0.018513492362567382
median_similarity,0.08138721621036989,0.08253258053625499,0.010208460520843794
min_similarity,0.09070918937362758,0.06332709916624235,0.004766866933594581
high_alignment_ratio,0.06980631396358082,0.04978256596442345,0.0056304889111377845
mean_similarity,0.05200436120814437,0.031164394328416226,0.0038606188498721983
low_alignment_ratio,0.053882851757810095,0.030791756963313262,0.003114211418167672
valid_post_count,0.007499990600866521,0.004286496962984884,0.0006100010918185633
text_valid_ratio,0.006705762283294842,0.0034865348786073456,0.0006278689184679699
text_valid_count,0.006744695288256699,0.0033508424215919954,0.0007354567517085302
padding_amount,0.003104307595906805,0.0017356649086512689,0.00037819319118682985
image_valid_count,0.0022795941145079598,0.0012230528750224723,0.0003294808300424749
image_valid_ratio,0.002042230939677669,0.00108549146496157,0.0002915988203044418
