author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
si_je_meurs,3,1,0,FN,0.063907145610111,0.5230274241234272,-0.45912027851331616,0.45912027851331616,0.936092854389889,59,64,0.921875,1.0,0.0
depression_meem,3,1,0,FN,0.0806283564147476,0.5230274241234272,-0.4423990677086796,0.4423990677086796,0.9193716435852524,53,53,0.828125,0.828125,11.0
m_m12150605,3,1,0,FN,0.0915018417839109,0.5230274241234272,-0.43152558233951627,0.43152558233951627,0.9084981582160891,64,64,1.0,1.0,0.0
saya_wolf0309,3,1,0,FN,0.1290136979734483,0.5230274241234272,-0.39401372614997887,0.39401372614997887,0.8709863020265517,64,64,1.0,1.0,0.0
zoezoeliao,3,1,0,FN,0.1834907436154494,0.5230274241234272,-0.3395366805079778,0.3395366805079778,0.8165092563845506,64,64,1.0,1.0,0.0
yi_wen_even,3,1,0,FN,0.1954169378262196,0.5230274241234272,-0.32761048629720757,0.32761048629720757,0.8045830621737804,64,64,1.0,1.0,0.0
mindfullyhk,3,1,0,FN,0.2222819686407794,0.5230274241234272,-0.30074545548264775,0.30074545548264775,0.7777180313592206,62,64,0.96875,1.0,0.0
pilikang,0,1,0,FN,0.0612388388805221,0.3377087362054896,-0.27646989732496746,0.27646989732496746,0.9387611611194779,58,64,0.90625,1.0,0.0
yuwen0099,4,1,0,FN,0.090975414039449,0.3484527497514231,-0.25747733571197406,0.25747733571197406,0.909024585960551,64,64,1.0,1.0,0.0
michellehojuyun,3,1,0,FN,0.2797546739105644,0.5230274241234272,-0.24327275021286277,0.24327275021286277,0.7202453260894356,63,64,0.984375,1.0,0.0
