author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
iamfinety2.0,0,0,1,FP,0.9107314588227756,0.3377087362054896,0.573022722617286,0.573022722617286,0.9107314588227756,64,64,1.0,1.0,0.0
knowmi_0.0,0,0,1,FP,0.90957003699769,0.3377087362054896,0.5718613007922004,0.5718613007922004,0.90957003699769,63,64,0.984375,1.0,0.0
lam_word,0,0,1,FP,0.908911426246945,0.3377087362054896,0.5712026900414554,0.5712026900414554,0.908911426246945,64,64,1.0,1.0,0.0
na.to.heart,0,0,1,FP,0.8533114233528094,0.3377087362054896,0.5156026871473198,0.5156026871473198,0.8533114233528094,64,64,1.0,1.0,0.0
elitesinsider,1,0,1,FP,0.8092561941623321,0.3226178336968301,0.48663836046550196,0.48663836046550196,0.8092561941623321,64,64,1.0,1.0,0.0
esther_ann9453,2,0,1,FP,0.6076990785836246,0.1330126093082226,0.47468646927540203,0.47468646927540203,0.6076990785836246,38,38,0.59375,0.59375,26.0
who.loved.by.jesus,0,0,1,FP,0.8077420461116196,0.3377087362054896,0.47003330990613,0.47003330990613,0.8077420461116196,22,64,0.34375,1.0,0.0
owendean___,2,0,1,FP,0.5855364529621347,0.1330126093082226,0.4525238436539122,0.4525238436539122,0.5855364529621347,64,64,1.0,1.0,0.0
sundaymingpao,2,0,1,FP,0.5667534524980681,0.1330126093082226,0.4337408431898455,0.4337408431898455,0.5667534524980681,64,64,1.0,1.0,0.0
truelove_goodtv.official,1,0,1,FP,0.7561735994550223,0.3226178336968301,0.43355576575819216,0.43355576575819216,0.7561735994550223,64,64,1.0,1.0,0.0
