author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
food.nius,3,0,0,TN,0.0306141987137997,0.5230274241234272,-0.49241322540962745,0.49241322540962745,0.9693858012862003,64,64,1.0,1.0,0.0
the_trip_addict,3,0,0,TN,0.0316531982662219,0.5230274241234272,-0.49137422585720525,0.49137422585720525,0.9683468017337781,64,64,1.0,1.0,0.0
156.melody,3,0,0,TN,0.0359639249197469,0.5230274241234272,-0.4870634992036803,0.4870634992036803,0.9640360750802531,64,64,1.0,1.0,0.0
katyholajeng,3,0,0,TN,0.0368863260366472,0.5230274241234272,-0.48614109808677997,0.48614109808677997,0.9631136739633528,64,64,1.0,1.0,0.0
auroratravelergo,3,0,0,TN,0.0376286953143917,0.5230274241234272,-0.48539872880903545,0.48539872880903545,0.9623713046856083,26,26,0.40625,0.40625,38.0
ninaa0821,3,0,0,TN,0.0383241087057172,0.5230274241234272,-0.48470331541770995,0.48470331541770995,0.9616758912942828,63,63,0.984375,0.984375,1.0
is.education,3,0,0,TN,0.0417173714559867,0.5230274241234272,-0.4813100526674405,0.4813100526674405,0.9582826285440132,64,64,1.0,1.0,0.0
qian_qian_jia_jia,3,0,0,TN,0.046383816046062,0.5230274241234272,-0.47664360807736517,0.47664360807736517,0.953616183953938,64,64,1.0,1.0,0.0
udntourtheworld_,3,0,0,TN,0.0519004730381532,0.5230274241234272,-0.47112695108527397,0.47112695108527397,0.9480995269618469,64,64,1.0,1.0,0.0
taichung.life88,3,0,0,TN,0.0521203557451369,0.5230274241234272,-0.47090706837829027,0.47090706837829027,0.9478796442548632,64,64,1.0,1.0,0.0
