author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
theforlorn_1025,2,1,1,TP,0.9447750937886314,0.1330126093082226,0.8117624844804089,0.8117624844804089,0.9447750937886314,61,64,0.953125,1.0,0.0
blue.sea.life,2,1,1,TP,0.9433671811124472,0.1330126093082226,0.8103545718042247,0.8103545718042247,0.9433671811124472,64,64,1.0,1.0,0.0
lingluo_hope,2,1,1,TP,0.938754334996251,0.1330126093082226,0.8057417256880285,0.8057417256880285,0.938754334996251,50,50,0.78125,0.78125,14.0
fallstar_0022,2,1,1,TP,0.9372098794368704,0.1330126093082226,0.8041972701286478,0.8041972701286478,0.9372098794368704,64,64,1.0,1.0,0.0
shuyu.minmin,2,1,1,TP,0.933188789038805,0.1330126093082226,0.8001761797305824,0.8001761797305824,0.933188789038805,64,64,1.0,1.0,0.0
towel0620,2,1,1,TP,0.931249537907206,0.1330126093082226,0.7982369285989834,0.7982369285989834,0.931249537907206,64,64,1.0,1.0,0.0
hopelessness_77_1118,2,1,1,TP,0.9258146565185796,0.1330126093082226,0.7928020472103571,0.7928020472103571,0.9258146565185796,64,64,1.0,1.0,0.0
writingwriter.h,2,1,1,TP,0.9161646581913898,0.1330126093082226,0.7831520488831673,0.7831520488831673,0.9161646581913898,64,64,1.0,1.0,0.0
163______________,2,1,1,TP,0.906097613575813,0.1330126093082226,0.7730850042675904,0.7730850042675904,0.906097613575813,64,64,1.0,1.0,0.0
huanhuan_drawing,2,1,1,TP,0.8934992679214693,0.1330126093082226,0.7604866586132467,0.7604866586132467,0.8934992679214693,29,29,0.453125,0.453125,35.0
