user_id,fold,y_true,y_pred,error_type,y_raw_prob,y_prob,threshold,decision_margin,signed_margin,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
blue.sea.life,4,1,1,TP,0.6451389789581299,0.5658456683158875,0.399370515080602,0.16647515323528544,0.16647515323528544,64.0,64.0,1.0,1.0,0
_kana.words_,4,1,1,TP,0.6392049789428711,0.5557845830917358,0.399370515080602,0.15641406801113383,0.15641406801113383,64.0,64.0,1.0,1.0,0
monster.words_,4,1,1,TP,0.6379784941673279,0.5537080764770508,0.399370515080602,0.15433756139644877,0.15433756139644877,64.0,64.0,1.0,1.0,0
whoisme_mdd,3,1,1,TP,0.6240583062171936,0.5396723747253418,0.3962877080277819,0.1433846666975599,0.1433846666975599,40.0,40.0,0.625,0.625,24
drownedep,4,1,1,TP,0.6310111284255981,0.5419360399246216,0.399370515080602,0.14256552484401958,0.14256552484401958,35.0,35.0,0.546875,0.546875,29
dailypaintingshare,3,1,1,TP,0.6133762001991272,0.5218464732170105,0.3962877080277819,0.1255587651892286,0.1255587651892286,27.0,27.0,0.421875,0.421875,37
linight.yn,4,1,1,TP,0.6186012625694275,0.5210856199264526,0.399370515080602,0.12171510484585063,0.12171510484585063,21.0,21.0,0.328125,0.328125,43
shan_min33,3,1,1,TP,0.6108548641204834,0.5176564455032349,0.3962877080277819,0.12136873747545296,0.12136873747545296,42.0,42.0,0.65625,0.65625,22
painwords.yan,4,1,1,TP,0.6157604455947876,0.5163372159004211,0.399370515080602,0.11696670081981914,0.11696670081981914,64.0,64.0,1.0,1.0,0
cancerfighter211,3,1,1,TP,0.6062021255493164,0.5099438428878784,0.3962877080277819,0.11365613486009651,0.11365613486009651,64.0,64.0,1.0,1.0,0
