user_id,fold,y_true,y_pred,error_type,y_raw_prob,y_prob,threshold,decision_margin,signed_margin,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
fenkychen0827,4,1,0,FN,0.4859232604503631,0.3165399730205536,0.399370515080602,0.08283054206004842,-0.08283054206004842,64.0,64.0,1.0,1.0,0
talkheart_1999,3,1,0,FN,0.482301265001297,0.3199333548545837,0.3962877080277819,0.07635435317319822,-0.07635435317319822,21.0,21.0,0.328125,0.328125,43
althealan_and_painting,0,1,0,FN,0.4947636127471924,0.3677906394004822,0.432703623143075,0.0649129837425928,-0.0649129837425928,64.0,64.0,1.0,1.0,0
xyyc18.02,4,1,0,FN,0.5007449388504028,0.3371743559837341,0.399370515080602,0.06219615909686793,-0.06219615909686793,56.0,56.0,0.875,0.875,8
depression_meem,2,1,0,FN,0.5147720575332642,0.3825340569019317,0.4276362376663735,0.04510218076444178,-0.04510218076444178,53.0,53.0,0.828125,0.828125,11
depressy.trouble,0,1,0,FN,0.5148999094963074,0.3959251940250397,0.432703623143075,0.036778429118035305,-0.036778429118035305,64.0,64.0,1.0,1.0,0
m_m12150605,2,1,0,FN,0.5205254554748535,0.3909128308296203,0.4276362376663735,0.03672340683675318,-0.03672340683675318,64.0,64.0,1.0,1.0,0
xuan_f0116.m0303,2,1,0,FN,0.5207940340042114,0.3913057744503021,0.4276362376663735,0.03633046321607136,-0.03633046321607136,64.0,64.0,1.0,1.0,0
will_be._.fine,1,1,0,FN,0.5235103368759155,0.4158664345741272,0.4331182040279335,0.017251769453806298,-0.017251769453806298,64.0,64.0,1.0,1.0,0
moodie_raven,0,1,0,FN,0.5310309529304504,0.4190275371074676,0.432703623143075,0.013676086035607382,-0.013676086035607382,64.0,64.0,1.0,1.0,0
