user_id,fold,y_true,y_pred,error_type,y_raw_prob,y_prob,threshold,decision_margin,signed_margin,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
hug_molly.tw,1,1,0,FN,0.5350056886672974,0.4327952861785888,0.4331182040279335,0.0003229178493446838,-0.0003229178493446838,33.0,33.0,0.515625,0.515625,31
sundaymingpao,4,0,1,FP,0.5434255599975586,0.4000740945339203,0.399370515080602,0.0007035794533182815,0.0007035794533182815,64.0,64.0,1.0,1.0,0
wmewm211118,2,1,0,FN,0.5444526672363281,0.4265154302120209,0.4276362376663735,0.0011208074543526125,-0.0011208074543526125,64.0,64.0,1.0,1.0,0
auroratravelergo,0,0,1,FP,0.5414313673973083,0.4341671168804168,0.432703623143075,0.0014634937373418366,0.0014634937373418366,26.0,26.0,0.40625,0.40625,38
egghead__studio,3,0,1,FP,0.5361298322677612,0.3981277644634247,0.3962877080277819,0.0018400564356427784,0.0018400564356427784,64.0,64.0,1.0,1.0,0
c.chienc,2,1,0,FN,0.5437305569648743,0.4254240691661834,0.4276362376663735,0.0022121685001900704,-0.0022121685001900704,64.0,64.0,1.0,1.0,0
allison220.wonderland,1,1,0,FN,0.5334650874137878,0.4305136203765869,0.4331182040279335,0.0026045836513465814,-0.0026045836513465814,31.0,31.0,0.484375,0.484375,33
mindfullyhk,4,1,0,FN,0.5412424802780151,0.3967393636703491,0.399370515080602,0.0026311514102528855,-0.0026311514102528855,64.0,64.0,1.0,1.0,0
bgk628,0,0,1,FP,0.5427596569061279,0.4361137151718139,0.432703623143075,0.0034100920287389314,0.0034100920287389314,64.0,64.0,1.0,1.0,0
felix_feidong,0,0,1,FP,0.5427606701850891,0.4361152052879333,0.432703623143075,0.003411582144858316,0.003411582144858316,49.0,49.0,0.765625,0.765625,15
zhuangcaiyu_,4,1,0,FN,0.5402204394340515,0.3951823711395263,0.399370515080602,0.004188143941075695,-0.004188143941075695,33.0,33.0,0.515625,0.515625,31
doublesleep._.5544,1,1,0,FN,0.5319434404373169,0.4282638430595398,0.4331182040279335,0.004854360968393701,-0.004854360968393701,63.0,63.0,0.984375,0.984375,1
emo.girl.1314,1,0,1,FP,0.5403496623039246,0.4407392740249634,0.4331182040279335,0.007621069997029883,0.007621069997029883,64.0,64.0,1.0,1.0,0
yysu7515,2,0,1,FP,0.5509028434753418,0.4363077580928802,0.4276362376663735,0.008671520426506707,0.008671520426506707,64.0,64.0,1.0,1.0,0
ryy.1988,3,0,1,FP,0.5410837531089783,0.4057024717330932,0.3962877080277819,0.009414763705311302,0.009414763705311302,25.0,25.0,0.390625,0.390625,39
