experiment,group,fold,window_size,model,modality,text_embedding,image_embedding,calibration,calibration_fit_split,threshold_strategy,threshold_selection_split,evaluation_split,threshold,temperature,platt_a,platt_b,accuracy,precision,recall,f1,auc,nll,log_loss,brier,ece_10,n_samples,source_file,method
bert_clip_w64_fold0,final_preprocessing_v2,0,64,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.3377087362054896,,,,0.7586206896551724,0.6875,0.8461538461538461,0.7586206896551724,0.8641826923076923,0.4950935023350401,0.4950935023350401,0.165091928890662,0.1467252002580852,58,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_metrics.csv,bert_clip
bert_clip_w64_fold1,final_preprocessing_v2,1,64,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.3226178336968301,,,,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8737980769230769,0.4605496008451956,0.4605496008451956,0.1492687991369876,0.0905802100627768,58,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold1_metrics.csv,bert_clip
bert_clip_w64_fold2,final_preprocessing_v2,2,64,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.1330126093082226,,,,0.6896551724137931,0.5909090909090909,1.0,0.7428571428571429,0.9639423076923076,0.2918049655612887,0.2918049655612887,0.0831948657058183,0.1769337204448854,58,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold2_metrics.csv,bert_clip
bert_clip_w64_fold3,final_preprocessing_v2,3,64,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.5230274241234272,,,,0.8166666666666667,0.9411764705882352,0.6153846153846154,0.7441860465116279,0.8925339366515836,0.4352696839698283,0.4352696839698283,0.1354747506684025,0.0970001962392776,60,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold3_metrics.csv,bert_clip
bert_clip_w64_fold4,final_preprocessing_v2,4,64,multimodal-transformer,both,bert,clip,none,none,validation_f1,validation,test,0.3484527497514231,,,,0.896551724137931,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.921875,0.3704893762270332,0.3704893762270332,0.1142072866536181,0.0957972436410109,58,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold4_metrics.csv,bert_clip
concat_w64_fold0,final_preprocessing_v2,0,64,text-image-concat,both,clip,clip,none,none,validation_f1,validation,test,0.3410657921833009,,,,0.5517241379310345,0.5,0.9615384615384616,0.6578947368421053,0.733173076923077,0.6183124434867944,0.6183124434867944,0.2139729055006736,0.1170262255697591,58,results/final_preprocessing_v2/methods/concat/w64/concat_w64_fold0_metrics.csv,concat
concat_w64_fold1,final_preprocessing_v2,1,64,text-image-concat,both,clip,clip,none,none,validation_f1,validation,test,0.4022345286429593,,,,0.7068965517241379,0.6451612903225806,0.7692307692307693,0.7017543859649122,0.8161057692307693,0.5736321057088073,0.5736321057088073,0.1931970388453316,0.1025107615248592,58,results/final_preprocessing_v2/methods/concat/w64/concat_w64_fold1_metrics.csv,concat
concat_w64_fold2,final_preprocessing_v2,2,64,text-image-concat,both,clip,clip,none,none,validation_f1,validation,test,0.3512108932626823,,,,0.6724137931034483,0.5813953488372093,0.9615384615384616,0.7246376811594203,0.828125,0.5806315310168499,0.5806315310168499,0.1957017864030137,0.1403956326185191,58,results/final_preprocessing_v2/methods/concat/w64/concat_w64_fold2_metrics.csv,concat
concat_w64_fold3,final_preprocessing_v2,3,64,text-image-concat,both,clip,clip,none,none,validation_f1,validation,test,0.4391101709102279,,,,0.7166666666666667,0.6216216216216216,0.8846153846153846,0.7301587301587301,0.7952488687782806,0.6093584185809465,0.6093584185809465,0.209112624522663,0.1429051777677738,60,results/final_preprocessing_v2/methods/concat/w64/concat_w64_fold3_metrics.csv,concat
concat_w64_fold4,final_preprocessing_v2,4,64,text-image-concat,both,clip,clip,none,none,validation_f1,validation,test,0.4059072098995334,,,,0.6551724137931034,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.7944711538461539,0.5977373764638451,0.5977373764638451,0.2041655877881473,0.0663262879525292,58,results/final_preprocessing_v2/methods/concat/w64/concat_w64_fold4_metrics.csv,concat
