method,window_size,model,modality,text_embedding,image_embedding,calibration,threshold_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,nll_mean,nll_std,log_loss_mean,log_loss_std,brier_mean,brier_std,ece_10_mean,ece_10_std,fold_count,complete_5fold
bert_clip,16,multimodal-transformer,both,bert,clip,none,validation_f1,0.801264367816092,0.02066729315148785,0.779322237216974,0.07867972907189627,0.8,0.12581097872150868,0.7799391227221416,0.02817726749413855,0.888093891402715,0.032611854709610345,0.4338122405158977,0.05519937095774736,0.4338122405158977,0.05519937095774736,0.13858490390147987,0.021859157234172446,0.12588277355943417,0.031288400689995714,5,True
bert_clip,32,multimodal-transformer,both,bert,clip,none,validation_f1,0.7943678160919541,0.037419045484736436,0.7738943693419397,0.12485142133985412,0.8230769230769232,0.1576453963993784,0.7791167437293254,0.035005028009551666,0.8995475113122172,0.033405153170808104,0.4121381571567334,0.05376155988454403,0.4121381571567334,0.05376155988454403,0.13085313198248755,0.0227592567736436,0.11756366963167578,0.012842019417511882,5,True
bert_clip,64,multimodal-transformer,both,bert,clip,none,validation_f1,0.7909195402298851,0.0760321152358142,0.774686343068696,0.14248566318385728,0.823076923076923,0.1428782740077439,0.7799020065740194,0.05953909015942915,0.9032664027149322,0.04043188658013058,0.41064142578767715,0.08056646578272914,0.41064142578767715,0.08056646578272914,0.1294475262110977,0.03190339810674671,0.12140731412920718,0.0384904878365891,5,True
bert_clip,128,multimodal-transformer,both,bert,clip,none,validation_f1,0.8389655172413792,0.07187401449461377,0.8511218323586744,0.13343364700569318,0.8,0.06880209161537813,0.818549887098626,0.0699827943222643,0.9055712669683258,0.04458337570469524,0.3994297957087859,0.0927023497313771,0.3994297957087859,0.0927023497313771,0.12523832250752406,0.03739771977339166,0.11436348453979481,0.034191785965171646,5,True
concat,64,text-image-concat,both,clip,clip,none,validation_f1,0.6605747126436782,0.065783387637362,0.5910642235848538,0.055912766023274975,0.8461538461538461,0.13323467750529824,0.6888150327509595,0.04364334702352224,0.7934247737556561,0.0365828595871794,0.5959343750514486,0.018813571956508894,0.5959343750514486,0.018813571956508894,0.20322998861196587,0.008778167859420543,0.11383281708668809,0.0314087664307626,5,True
contextvecnet,16,multimodal-transformer,both,clip,clip,none,validation_f1,0.6551724137931034,,0.5652173913043478,,1.0,,0.7222222222222222,,0.7992788461538461,,0.5528904225879716,,0.5528904225879716,,0.1864179165275537,,0.1665336199105415,,1,False
contextvecnet,64,multimodal-transformer,both,clip,clip,none,fixed_0.5,0.7329885057471264,0.0501708008851884,0.7493333333333333,0.08401058134412465,0.6230769230769231,0.15717551339771194,0.66719956275193,0.09231156567206683,0.8524886877828054,0.04547096670303167,0.49550234548929417,0.05660391148150231,0.49550234548929417,0.05660391148150231,0.16384805590258028,0.02242131138436317,0.14489324597561293,0.023389703921437622,5,True
contextvecnet,64,multimodal-transformer,both,clip,clip,none,validation_f1,0.7258620689655173,0.04496001658760448,0.6576919602529359,0.06582709968613455,0.8384615384615385,0.09955522388880608,0.7315910932512375,0.032936914714324285,0.8524886877828054,0.04547096670303167,0.49550234548929417,0.05660391148150231,0.49550234548929417,0.05660391148150231,0.16384805590258028,0.02242131138436317,0.14489324597561293,0.023389703921437622,5,True
contextvecnet,64,multimodal-transformer,both,clip,clip,platt,fixed_0.5,0.7467816091954023,0.060075479893628214,0.7569101382488479,0.0740066378294612,0.6615384615384616,0.2232757734415384,0.6834785238959468,0.11819116540656671,0.8524886877828054,0.04547096670303167,0.5072786321577504,0.06181665634571568,0.5072786321577504,0.06181665634571568,0.16741756996487706,0.022110051386517903,0.13874308349359094,0.017323300668966504,5,True
contextvecnet,64,multimodal-transformer,both,clip,clip,platt,validation_f1,0.7258620689655173,0.04496001658760448,0.6576919602529359,0.06582709968613455,0.8384615384615385,0.09955522388880608,0.7315910932512375,0.032936914714324285,0.8524886877828054,0.04547096670303167,0.5072786321577504,0.06181665634571568,0.5072786321577504,0.06181665634571568,0.16741756996487706,0.022110051386517903,0.13874308349359094,0.017323300668966504,5,True
