bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,16,0.051196958830598716,0.0625,0.011303041169401284
1,0.1,0.2,6,0.15528233226208274,0.0,0.15528233226208274
2,0.2,0.30000000000000004,3,0.24381780386989518,0.6666666666666666,0.4228488627967715
3,0.30000000000000004,0.4,1,0.31960051884942825,1.0,0.6803994811505718
4,0.4,0.5,5,0.4354127814576475,0.6,0.16458721854235248
5,0.5,0.6000000000000001,3,0.5300889031513348,0.3333333333333333,0.19675556981800152
6,0.6000000000000001,0.7000000000000001,2,0.6313599338235112,0.5,0.1313599338235112
7,0.7000000000000001,0.8,2,0.7884891970065602,1.0,0.21151080299343983
8,0.8,0.9,5,0.8393397768154987,0.6,0.23933977681549867
9,0.9,1.0,15,0.943528648884532,0.8,0.14352864888453198
