bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,15,0.056336549639931115,0.06666666666666667,0.010330117026735551
1,0.1,0.2,6,0.15312462525488496,0.0,0.15312462525488496
2,0.2,0.30000000000000004,4,0.24294503334010203,0.5,0.25705496665989797
3,0.30000000000000004,0.4,1,0.329178217613547,1.0,0.6708217823864531
4,0.4,0.5,5,0.4390822799779993,0.6,0.16091772002200067
5,0.5,0.6000000000000001,4,0.5457773329466178,0.5,0.04577733294661779
6,0.6000000000000001,0.7000000000000001,1,0.6502147457681925,0.0,0.6502147457681925
7,0.7000000000000001,0.8,3,0.7818646542084192,0.6666666666666666,0.11519798754175259
8,0.8,0.9,8,0.8663532101829641,0.5,0.3663532101829641
9,0.9,1.0,11,0.9476565406905898,1.0,0.0523434593094102
