bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,2,0.08924316613373207,0.0,0.08924316613373207
1,0.1,0.2,19,0.15002480194940584,0.0,0.15002480194940584
2,0.2,0.30000000000000004,4,0.2450202584053668,0.25,0.0049797415946332135
3,0.30000000000000004,0.4,4,0.34521139266095824,0.5,0.15478860733904176
4,0.4,0.5,4,0.46848825416911766,0.25,0.21848825416911766
5,0.5,0.6000000000000001,1,0.5767538581347111,1.0,0.42324614186528886
6,0.6000000000000001,0.7000000000000001,3,0.6381458218082409,0.0,0.6381458218082409
7,0.7000000000000001,0.8,2,0.778938229251082,1.0,0.22106177074891797
8,0.8,0.9,7,0.8427297533298378,1.0,0.1572702466701622
9,0.9,1.0,12,0.9346509374750508,1.0,0.06534906252494921
