calibration,bin,bin_lower,bin_upper,count,confidence,accuracy,gap
none,0,0.0,0.1,64,0.06487427512327443,0.078125,0.013250724876725573
none,1,0.1,0.2,69,0.14103091482743826,0.13043478260869565,0.010596132218742615
none,2,0.2,0.30000000000000004,19,0.24032175137005177,0.3684210526315789,0.12809930126152716
none,3,0.30000000000000004,0.4,14,0.3449473422891951,0.5714285714285714,0.2264812291393763
none,4,0.4,0.5,15,0.4357212599012182,0.4666666666666667,0.03094540676544849
none,5,0.5,0.6000000000000001,10,0.5584155837005749,0.5,0.05841558370057487
none,6,0.6000000000000001,0.7000000000000001,12,0.6424622500380187,0.75,0.10753774996198129
none,7,0.7000000000000001,0.8,17,0.7618756528256987,0.8823529411764706,0.12047728835077187
none,8,0.8,0.9,26,0.8506183285304473,0.8846153846153846,0.033997056084937305
none,9,0.9,1.0,46,0.9370465378825117,0.9130434782608695,0.024003059621642175
