calibration,bin,bin_lower,bin_upper,count,confidence,accuracy,gap
none,0,0.0,0.1,64,0.06487427512327443,0.078125,0.013250724876725573
none,1,0.1,0.2,69,0.14103091482743826,0.13043478260869565,0.010596132218742615
none,2,0.2,0.30000000000000004,19,0.24032175137005177,0.3684210526315789,0.12809930126152716
none,3,0.30000000000000004,0.4,14,0.3449473422891951,0.5714285714285714,0.2264812291393763
none,4,0.4,0.5,15,0.4357212599012182,0.4666666666666667,0.03094540676544849
none,5,0.5,0.6000000000000001,10,0.5584155837005749,0.5,0.05841558370057487
none,6,0.6000000000000001,0.7000000000000001,12,0.6424622500380187,0.75,0.10753774996198129
none,7,0.7000000000000001,0.8,17,0.7618756528256987,0.8823529411764706,0.12047728835077187
none,8,0.8,0.9,26,0.8506183285304473,0.8846153846153846,0.033997056084937305
none,9,0.9,1.0,46,0.9370465378825117,0.9130434782608695,0.024003059621642175
temperature,0,0.0,0.1,75,0.06105515273446078,0.08,0.018944847265539223
temperature,1,0.1,0.2,62,0.13751243922278109,0.16129032258064516,0.02377788335786407
temperature,2,0.2,0.30000000000000004,17,0.2509238803588886,0.35294117647058826,0.10201729611169968
temperature,3,0.30000000000000004,0.4,13,0.3475357839865781,0.6153846153846154,0.26784883139803733
temperature,4,0.4,0.5,14,0.4371470899677644,0.42857142857142855,0.008575661396335865
temperature,5,0.5,0.6000000000000001,11,0.5614814744483663,0.5454545454545454,0.016026928993820855
temperature,6,0.6000000000000001,0.7000000000000001,11,0.647864284697831,0.7272727272727273,0.07940844257489632
temperature,7,0.7000000000000001,0.8,14,0.7597906294810912,0.7857142857142857,0.02592365623319448
temperature,8,0.8,0.9,31,0.8588334293849929,0.8387096774193549,0.02012375196563798
temperature,9,0.9,1.0,44,0.9445083484858934,0.9772727272727273,0.032764378786833914
platt,0,0.0,0.1,56,0.0683060002669411,0.05357142857142857,0.014734571695512531
platt,1,0.1,0.2,68,0.14439838405496638,0.16176470588235295,0.017366321827386566
platt,2,0.2,0.30000000000000004,21,0.24270567272150667,0.19047619047619047,0.052229482245316206
platt,3,0.30000000000000004,0.4,16,0.3463620611790949,0.5,0.1536379388209051
platt,4,0.4,0.5,12,0.44595690288033213,0.3333333333333333,0.11262356954699881
platt,5,0.5,0.6000000000000001,9,0.547138304708383,0.8888888888888888,0.34175058418050586
platt,6,0.6000000000000001,0.7000000000000001,14,0.6501675437330511,0.5,0.15016754373305108
platt,7,0.7000000000000001,0.8,15,0.7550612981627124,0.7333333333333333,0.02172796482937911
platt,8,0.8,0.9,24,0.8551721196039556,0.9166666666666666,0.06149454706271107
platt,9,0.9,1.0,57,0.949972888469892,0.9122807017543859,0.037692186715506115
