calibration,bin,bin_lower,bin_upper,count,confidence,accuracy,gap
temperature,0,0.0,0.1,75,0.06105515273446078,0.08,0.018944847265539223
temperature,1,0.1,0.2,62,0.13751243922278109,0.16129032258064516,0.02377788335786407
temperature,2,0.2,0.30000000000000004,17,0.2509238803588886,0.35294117647058826,0.10201729611169968
temperature,3,0.30000000000000004,0.4,13,0.3475357839865781,0.6153846153846154,0.26784883139803733
temperature,4,0.4,0.5,14,0.4371470899677644,0.42857142857142855,0.008575661396335865
temperature,5,0.5,0.6000000000000001,11,0.5614814744483663,0.5454545454545454,0.016026928993820855
temperature,6,0.6000000000000001,0.7000000000000001,11,0.647864284697831,0.7272727272727273,0.07940844257489632
temperature,7,0.7000000000000001,0.8,14,0.7597906294810912,0.7857142857142857,0.02592365623319448
temperature,8,0.8,0.9,31,0.8588334293849929,0.8387096774193549,0.02012375196563798
temperature,9,0.9,1.0,44,0.9445083484858934,0.9772727272727273,0.032764378786833914
