bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,16,0.08700046624325875,0.0,0.08700046624325875
1,0.1,0.2,63,0.145471226070812,0.06349206349206349,0.08197916257874852
2,0.2,0.30000000000000004,48,0.2498821611048243,0.3125,0.06261783889517569
3,0.30000000000000004,0.4,34,0.3465867145459732,0.38235294117647056,0.03576622663049739
4,0.4,0.5,21,0.4572632229489126,0.8095238095238095,0.35226058657489695
5,0.5,0.6000000000000001,26,0.5501805081075216,0.5384615384615384,0.01171896964598318
6,0.6000000000000001,0.7000000000000001,17,0.6520029486065737,0.7058823529411765,0.05387940433460281
7,0.7000000000000001,0.8,24,0.7430328309445454,0.6666666666666666,0.07636616427787879
8,0.8,0.9,28,0.8531340698846607,0.9285714285714286,0.07543735868676793
9,0.9,1.0,15,0.9196401730715109,0.8666666666666667,0.05297350640484422
