bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,19,0.08146456392631736,0.0,0.08146456392631736
1,0.1,0.2,63,0.1444975353896883,0.07936507936507936,0.06513245602460893
2,0.2,0.30000000000000004,41,0.2532201501629221,0.34146341463414637,0.08824326447122427
3,0.30000000000000004,0.4,32,0.33850816628895525,0.375,0.03649183371104475
4,0.4,0.5,21,0.45368018976686403,0.6190476190476191,0.16536742928075504
5,0.5,0.6000000000000001,19,0.5640908319713852,0.631578947368421,0.06748811539703581
6,0.6000000000000001,0.7000000000000001,18,0.6498856420608371,0.6111111111111112,0.03877453094972594
7,0.7000000000000001,0.8,22,0.7524908193192228,0.6363636363636364,0.11612718295558644
8,0.8,0.9,27,0.8435742703303417,0.8518518518518519,0.008277581521510147
9,0.9,1.0,30,0.9389320226858061,0.8666666666666667,0.07226535601913942
