bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,34,0.07120778539362722,0.0,0.07120778539362722
1,0.1,0.2,64,0.14567371665954532,0.203125,0.057451283340454684
2,0.2,0.30000000000000004,35,0.2520920788334242,0.2571428571428571,0.005050778309432902
3,0.30000000000000004,0.4,28,0.34803727155610853,0.35714285714285715,0.009105585586748621
4,0.4,0.5,21,0.4531187816478638,0.8095238095238095,0.35640502787594575
5,0.5,0.6000000000000001,23,0.5522847990922998,0.5217391304347826,0.030545668657517178
6,0.6000000000000001,0.7000000000000001,15,0.6561200097947135,0.6666666666666666,0.010546656871953108
7,0.7000000000000001,0.8,20,0.7447796286939632,0.65,0.09477962869396317
8,0.8,0.9,29,0.852781803159371,0.896551724137931,0.04376992097856003
9,0.9,1.0,23,0.9396123887206282,0.8695652173913043,0.07004717132932392
