case_type,minimal_review_reason,fold,author,label,multimodal_probability,text_probability,delta_p,multimodal_error_type,user_alignment_group,mean_similarity,multimodal_logit,multimodal_threshold,multimodal_prediction,text_logit,text_threshold,text_prediction,text_correct,text_error_type,multimodal_correct,valid_post_count,sd_similarity,median_similarity,q1_similarity,q3_similarity,min_similarity,max_similarity,high_post_count,low_post_count,abs_delta_p,lowest_similarity_caption,lowest_similarity_image_path,lowest_post_similarity,highest_similarity_caption,highest_similarity_image_path,highest_post_similarity,manual_text_image_consistency,manual_image_extra_signal,manual_image_effect,manual_inconsistency_taxonomy_A_to_H,manual_identifiable_info,manual_notes
multimodal_false_positive_top10,multimodal_false_positive_top10,3,ed.stories,0,0.9382485638466918,0.8949945912986934,0.0432539725479983,FP,Medium,0.2606092533096671,2.720897674560547,0.5230274241234272,1,2.142805814743042,0.4703367025185562,1,False,FP,False,64.0,0.0162181474311773,0.2627435028553009,0.2517233863472938,0.2723799422383308,0.2061319649219513,0.2918647825717926,3.0,9.0,,"《世界好像在原地轉圈》 世界好像在原地轉圈 進食、饑餓、再進食 慾望、洩慾、再慾望 歷史、重演、再歷史 新年、變舊、再新年 繞一大個圈之後又再 歸於寂靜,寂靜過後 世界還是在站在原地 原地並沒有甚麼不好 繼續繼續繞另一個圈 20260220",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/ed.stories/images/3836624615662287404_5177156112.jpg,0.2061319649219513,《因為孤獨是自由的同義詞》 最後你得償所願 獲取了想要的自由 千萬不要覺得 孤獨是悲劇一種 因為自由是孤獨的同義詞 所以你不能抱怨 不能說感到後悔 不可表現痛苦模樣 所以你可以一個人吃飯 一個人看電影和過馬路 一個人去醫院和排急症 所以你可以暗自孤獨 避免把快樂稀釋 享盡可享受的自由 20260408 ***** ***** ***** ***** ***** ***** 追蹤 沐浴於文學世界 ***** ***** ***** ***** ***** *****,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/ed.stories/images/3870197381602445263_5177156112.jpg,0.2918647825717926,一致,無,無明顯影響,,是,
multimodal_false_positive_top10,multimodal_false_positive_top10,0,iamfinety2.0,0,0.9107314588227756,0.7916053635372965,0.1191260952854791,FP,High,0.2830741261132061,2.322598934173584,0.3377087362054896,1,1.3346294164657593,0.3292227008133845,1,False,FP,False,64.0,0.0126335744916639,0.2829651981592178,0.2746015191078186,0.2923061326146126,0.2530758678913116,0.3137165307998657,23.0,0.0,,"有些事情變了就是變了, 就算能回到過去, 你的心都不一樣了。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/iamfinety2.0/images/3343733159451329223_28899230819.jpg,0.2530758678913116,"別用5%的負面價值, 去否定自己100%的努力",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/iamfinety2.0/images/3763406419009823515_28899230819.jpg,0.3137165307998657,一致,無,無明顯影響,,是,
multimodal_false_positive_top10,multimodal_false_positive_top10,0,knowmi_0.0,0,0.90957003699769,0.9241481209272784,-0.0145780839295883,FP,Low,0.2334453678793377,2.308396339416504,0.3377087362054896,1,2.5000898838043213,0.3292227008133845,1,False,FP,False,63.0,0.0333492480029477,0.2293564826250076,0.2114723175764084,0.245472103357315,0.1720891594886779,0.3271195888519287,6.0,42.0,,"【專屬教授】旻城 *師生 *年齡差 ❗️完整版(設定有改)❗️ ——09 秋天的校園一向不安分。 校慶前夕,整個校內像被打翻了顏料盤,展覽布置、攤位準備,全系師生都忙得腳不沾地。 韓知城身為剛上任不久的年輕教授,原本只打算默默跟著流程走,沒想到最後被排去帶隊參加「學術研習營」——一場與他校聯合舉辦的兩天一夜課程,地點在半山腰上的研習中心。 住宿條件雖好,但因為臨時參加人數爆增,房間編排幾乎成了災難。 助教翻著表格,一臉苦惱:「教授......真的很抱歉,現在只剩一間空房,是兩人房,而且——」 她頓了頓,有些猶豫地看了走廊盡頭一眼。 「跟李旻浩同一間,您......方便嗎?」 韓知城一時間語塞,下意識想問能不能換。 但才剛張口,就看見走廊角落,那道熟悉的身影靠牆站著,一隻手轉著房卡,像早就等在那裡。 「教授也太慢了,我都快睡著了。」 他語氣平靜,眼神落在韓知城身上,有種不動聲色的觀察。 「你怎麼在這......」 「聽說要跟你同住,我當然先來看看環境。」李旻浩將房卡丟進掌心,手指一勾,示意他跟上,「行李給我,樓上走。」 — 一進房,氣氛明顯緊繃。 韓知城站在玄關脫鞋時還在努力裝冷靜:「我睡地上就好,反正只有一晚——」 「不行。」 李旻浩語氣很輕,但語氣裡沒有退讓的空間。他走進房間,順手把門關上,門鎖「咔」一聲輕響,在靜謐的空間裡像被放大了數倍。 韓知城下意識回頭,那一瞬間竟莫名覺得空氣裡多了點危險的氣味。 「我不會對你怎麼樣。」李旻浩彎下腰,把他的行李箱擺到牆邊,「你幹嘛緊張成這樣?」 「我才沒有緊張......」 「是嗎?」他看了他一眼,嘴角微微揚起,「那你耳朵紅什麼?」 韓知城語塞,只能轉身假裝整理被子。 「你以前說過,最怕麻煩。」他低聲問道,「那你這次——幹嘛搶著跟我同一間?」 「因為你不會讓我覺得麻煩。」 那話說得太自然,像是已經確認過千百遍的答案。韓知城卻像被什麼東西輕輕點了一下心口,愣住了。 — 入夜後,屋內只剩床頭燈亮著。 韓知城洗完澡早早鑽進棉被裡,整個人縮成一小團,只露出一雙眼睛。他其實不太敢睡——更準確地說,是睡不著。 另一側的床墊微微下陷,是李旻浩翻身的動作。 「你一直翻身,是背痛還是心事多?」 韓知城嚇一跳:「......你怎麼知道我翻身?」 「我睡得不沉,隔壁的氣息一亂我就知道了。」 「我、我只是......」 他沒說完,卻感覺那雙眼睛還在注視著他,穿透燈光與夜色。 「你是不是很奇怪我為什麼一直對你這樣?」 韓知城咬了咬唇,過了幾秒,才點了點頭。 「我本來的確不打算管太多。」 「可後來發現......你什麼都不說,又總是逞強,然後笑得那麼客氣,好像誰都靠得近,又像誰都靠不近。」 他語氣沒有起伏,卻句句清晰。 「我不喜歡那樣的你。」 韓知城怔住了,一時不知道該反駁什麼。 「但如果是你現在這樣——會困擾、會亂想、會紅著耳朵問我問題的樣子,」 李旻浩聲音低了些,像怕吵醒什麼,「我就想一直看著。」 韓知城臉整個燙起來,翻身把自己整個人埋進棉被裡。 然後,他聽見身邊傳來一聲悶笑。 「你再這樣躲,會悶死。」 「不、不要管我......」 「好,那我不吵你。」 李旻浩語氣像是在妥協,但下一句卻低得幾乎要貼在枕邊: 「只是記得,別再問我為什麼對你好。因為我已經很克制了。」 韓知城整個人僵住,手指緊緊抓著被角,心臟跳得像要破表。 — 他沒看到的是,李旻浩背對著他時,眼神裡有光,卻也帶著壓抑。 這段距離,他會等。 不是因為退讓,而是因為真正想要的,不能急。 等到那個總是小心翼翼的年輕教授,終於有天自己往他走來時—— 那才是,他最想要的答案。 (留言續)",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/knowmi_0.0/images/3639356085212067791_73207779627.jpg,0.1720891594886779,"【Trouble Maker】辰旻 *🚗🚗 — 「哈啊...嗯,太深了、不要...」 「還不能走喔~說好要讓我開心的對吧?」 「不要了....啊!」剛爬出一點距離就被黃鉉辰抓住腳踝拉回,突如其來的刺激讓李旻浩忍不住叫了出來,生理性的淚水蓄在眼眶邊緣搖搖欲墜。 — 「哥~」 「嗯?」 「好多stay在問我是怎麼說服你跳女位欸?」黃鉉辰刷著手機,無意見看到了stay們的短片及留言。 「嗯~為什麼呢~」李旻浩坐在一旁看著手機螢幕懶洋洋的回答 「...你沒在聽吧」 「聽著呢,你繼續說~」 「?說完啦!」 「是嗎?」 「...哥」 「嗯...唔!?」 還沒等李旻浩反應過來,黃鉉辰就突然強硬的扳過他的下巴吻了上去「唔...哈..呀黃鉉辰你幹嘛!」 「哥都沒在聽我說話對吧?」 「有...嗯..!」 翻身將還在嘴硬的哥哥壓在沙發上,黃鉉辰露出了意味深長的微笑。「是嗎?那我說了什麼?」 「......」 顯然這哥直到方才還沈迷於動畫片,一個字都沒聽進去,但嘴硬的小兔子是不會放棄狡辯的 「就是...跟stay們有關的嘛!」 「...說謊可是要受罰的喔~」寬大的手掌滑入衣襬,沿著緊緻的肌肉線條細細描繪,惹得身下人一陣顫慄,平時總表現得像個帕波(바보)的人現在卻笑得像隻壞狐狸,原先在腰部遊走的大掌逐漸向上...... 「唔...癢、你很煩......」 李旻浩咬著唇,聲音卻輕的像撒嬌。 「哥聲音怎麼抖成這樣?明明剛剛還很囂張」 黃鉉辰低頭,鼻頭輕輕蹭過小兔子泛紅的耳尖,語氣裡全是壞心眼的笑意。 大手不安份的從背脊滑到腰側,順著曲線向上,指尖在肌膚上像是灼熱的火苗,一點點點燃他的每寸感官 「別、別摸那裡...很癢......」 「可是哥這裡在發燙欸~」 輕咬了口對方的耳垂,讓李旻浩顫了顫,彷彿連呼吸都被奪走。 「我......我真的......」 話還沒說完,黃鉉辰一手扯下他鬆垮的外套,整個人幾乎半裸地躺在沙發上,衣襟散開、鎖骨精緻,臉頰紅潤得像剛熟的蜜桃。 黃鉉辰看得眼神都暗了。 「哥真的超不乖。」 「才、才不是......」 他伸手想推開對方,卻被反手按住手腕,整個人動彈不得。李旻浩猛地別過頭,「不要看......」 「為什麼?哥看起來很可愛啊。」 他忍不住啄了下對方鎖骨,留下淺淺紅痕,然後笑著看著李旻浩瞬間炸毛的反應。 「黃鉉辰你混帳......!」 「真是、哈...你知道自己現在是什麼表情嗎?」 漂亮的眼睛矇著一層水霧,纖長的睫毛輕顫,鼻頭因熱氣而微微出汗,透著淡淡的粉色,被親到紅腫的唇為了喘氣而張開,露出了可愛的兔牙。 「自己看看吧?」 李旻浩被按在梳妝台前的大鏡子上,整面玻璃泛著霧氣,模糊又曖昧地倒映出兩人的身影。 — 「不要再看了......你個、變態...」 李旻浩臉紅得快滴血,試圖側頭躲過自己在鏡子裡的樣子,卻被黃鉉辰一手摁住下巴,強迫他直視。 「怕什麼?哥現在這樣......很好看。 語氣輕快卻帶著壞心眼,那隻作怪的手從腰際一路向上滑,力道像是在撫摸,又像是在挑釁。 李旻浩吸了口氣,耳尖紅得發燙,視線在鏡子裡飄來飄去,卻還是不敢看黃鉉辰的眼睛。 「看著嘛~你現在全身都在發抖,是因為我吧?」 他語氣含笑,卻在李旻浩耳邊低聲補了一句, 「還是......因為你喜歡被我這樣按在鏡子前面弄?」 「黃鉉辰你...唔......」 — 嘴唇被咬住,吞進了所有反駁的氣音。鏡子裡,那個被吻得喘不過氣的自己,衣領早已鬆垮,眼尾泛紅,嘴角還帶著一點水光,整個人像是快融化在對方懷裡。 而身後那人,笑得像只壞狐狸,眼神燙得嚇人。 大掌從背後環過他纖細的腰,緩緩貼上腹部,動作極緩,卻撩得他忍不住戰慄。 「啊......等等、我、我不行...那裡......」 「哥的反應真的超誠實欸......」 黃鉉辰笑聲低沉,唇貼著他的脖頸,呼出的熱氣讓李旻浩整個人顫了一下。 「還說不行......這裡都這麼硬了。」 「黃、黃鉉辰......嗯......」 他已經說不出完整的句子了。全靠鏡子裡的畫面來提醒他現在的模樣多羞恥——凌亂的頭髮、半掀的襯衫、紅透的耳朵、還有那雙渴望又害怕的眼睛。 黃鉉辰在他耳邊輕聲說: 「今晚......哥只能看著鏡子裡的自己,一點都不准躲開,懂嗎?」 他被吻住,聲音吞進吻裡。 鏡子模糊了,身影交纏不清,但喘息與熱度卻清晰無比。 結束後李旻浩的襯衫已經皺的不成樣,扣子也不知去哪了,眼尾紅通通的,整個人像是被揉皺的紙團一樣虛軟。 黃鉉辰哼著歌,把他整個人抱進懷裡,還不忘低頭啄一下他鎖骨上的紅痕。 「去、洗澡啦......」李旻浩嗓音啞到不成樣,還是嘴硬地別開臉。 「好啊~那哥陪我一起洗吧。」 「......我、我自己可以——啊!」 他話還沒說完,就被黃鉉辰整個人橫抱起來,嚇得手一緊環上對方脖子,氣急敗壞地拍他的肩。 「你放我下來!」 「不行,哥腿都軟成這樣了,走得動嗎?」 「......黃鉉辰你這混蛋。」 浴室霧氣升騰的瞬間,李旻浩被輕輕放進花灑下,暖水灑落在發燙的肌膚上,一瞬間彷彿連剛剛的喘息聲都還回蕩在空氣裡。 黃鉉辰一邊幫他沖水一邊假裝無辜地說: 「哥身上好多痕跡哦,要洗乾淨才行,不然給成員看到就糟了。」 「你還敢說......!」 他氣呼呼地想走,卻被從背後一把攬住,額頭貼在他濕漉漉的肩上。 「哥......」 「又怎樣......」 「剛剛你叫我名字的樣子,好可愛喔。」 「你還說!」 (留言續)",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/knowmi_0.0/images/3735044029797216546_73207779627.jpg,0.3271195888519287,一致,無,無明顯影響,,是,
multimodal_false_positive_top10,multimodal_false_positive_top10,0,lam_word,0,0.908911426246945,0.8154766959896272,0.0934347302573177,FP,Medium,0.2706311964429915,2.300415277481079,0.3377087362054896,1,1.4859970808029177,0.3292227008133845,1,False,FP,False,64.0,0.0099373720929778,0.2710666805505752,0.2641415670514107,0.2776828706264496,0.2329002320766449,0.291394293308258,2.0,1.0,,少心一點 由愛 成爱 只需一次失戀 以後便會小心一點 再少心一點,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/lam_word/images/3743997795574603631_52523400069.jpg,0.2329002320766449,"五重起源論 從林地醒來吧 抹去生養我們的污泥 將其塑作言辭。 最後的樹已經染疫 我們從此之後,腳踏實地 從殼中醒來吧 臨行之時,我們拾起先祖的卵殼 那裏有着常世的過去 心與鱗出於介殼之中 我們繼承了一切遺產 於是出身班駁如同歷史 從光中醒來吧 我們的靈與魂,宿世流於光中 泥肉之軀只是醒時的中轉之地 光捎來天啓,以及啓蒙 理性自光而生 為我們識破一切鏡花水月 從虛空醒來吧 對鏡自看,是一隻擬態為人的蠕蟲 兩眸虛空,如被寄生的蟲蟻 攝食了父母,攝食了起源,攝食了真我 嘴角還有血跡未乾 順着表皮滑落,沿途烙出道道印記 獸印 我,該從何處醒來?",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/lam_word/images/3740849234431064255_52523400069.jpg,0.291394293308258,一致,無,無明顯影響,,否,
multimodal_false_positive_top10,multimodal_false_positive_top10,0,na.to.heart,0,0.8533114233528094,0.7757295375972421,0.0775818857555673,FP,Medium,0.2743877798784524,1.760812759399414,0.3377087362054896,1,1.2409511804580688,0.3292227008133845,1,False,FP,False,64.0,0.0196357182718991,0.2765078097581863,0.2581633105874061,0.2906958535313606,0.2236487865447998,0.3078213930130005,21.0,4.0,,"那些傻傻的追逐星光的時候 想起來仍然是十分璀璨的一段人生❤️ 十多年過去了 我和追星認識的好友一起開了顧問公司 從一起為他們奔跑到現在仍然是一起奔跑 一起創造了很多輝煌的時刻 想想大概就是因為 我們都是做什麼事情都全力以赴很認真的人 那些時光,沒有一刻是浪費的😳 - 出處: 約翰藍儂 跟抄: 手寫: -",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/na.to.heart/images/3819312157213806909_48753960352.jpg,0.2236487865447998,"好久好久,都已經快要忘了要做那朵🌸 - 出處: 手寫: -",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/na.to.heart/images/3796838605780940068_48753960352.jpg,0.3078213930130005,一致,無,干擾,,否,
multimodal_false_positive_top10,multimodal_false_positive_top10,1,elitesinsider,0,0.8092561941623321,0.8669668372152692,-0.0577106430529371,FP,High,0.2805764332879334,1.445184350013733,0.3226178336968301,1,1.8744022846221924,0.4870751093923089,1,False,FP,False,64.0,0.0181467537852254,0.2819496989250183,0.2704290971159935,0.2893500477075577,0.2396138459444046,0.3360371589660644,22.0,1.0,,"你遇到的是「麻煩」,還是被包裝起來的「機會」?🧩 👊 公司的問題,是你晉升的舞台 🤝 同事的問題,是人脈經營的入口 💼 客戶的問題,是成交的伏筆 🧠 自己的問題,是成長的起點 🔥 老闆的問題,是贏得信任的門票 🏆 對手的問題,是你進階的階梯 你在抱怨,還是在悄悄變強? 高手,從不怕問題,只怕沒問題!",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/elitesinsider/images/3626442264316175405_7009660250.jpg,0.2396138459444046,"💡你真正的財富,不只有錢包裡的現金! 你有三種“貨幣”:時間、金錢、知識。 缺錢?那就拿時間去學,用知識去賺。 缺知識?那就投資金錢與時間去習得。 缺時間?就用金錢買效率,用知識做選擇。 你怎麼運用這三種資源,就決定你的人生高度。 所以,你還在浪費哪一種?",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/elitesinsider/images/3629250731219458071_7009660250.jpg,0.3360371589660644,一致,無,無明顯影響,,是,
multimodal_false_positive_top10;largest_abs_delta_p_top20,multimodal_false_positive_top10;largest_abs_delta_p_top20,0,who.loved.by.jesus,0,0.8077420461116196,0.5153789693952825,0.2923630767163371,FP,High,0.281904013319449,1.4354047775268557,0.3377087362054896,1,0.0615352876484394,0.3292227008133845,1,False,FP,False,22.0,0.0288393896722073,0.2905149012804031,0.269794151186943,0.297684945166111,0.1835951656103134,0.3143098950386047,13.0,1.0,,"“Blessed are those who hunger and thirst for righteousness, for they shall be satisfied.(Matthew5:6 ESV)",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/who.loved.by.jesus/images/3663514336552903529_6848616982.jpg,0.1835951656103134,"「他寧可和上帝的百姓同受苦害,也不願暫時享受罪中之樂。」 希伯來書 11 : 25",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/who.loved.by.jesus/images/3799098941624221105_6848616982.jpg,0.3143098950386047,一致,無,干擾,,是,
multimodal_false_positive_top10,multimodal_false_positive_top10,1,truelove_goodtv.official,0,0.7561735994550223,0.7027692121857843,0.053404387269238,FP,High,0.2900143493898213,1.1318144798278809,0.3226178336968301,1,0.8605196475982666,0.4870751093923089,1,False,FP,False,64.0,0.0180573288332102,0.2904762327671051,0.2807402014732361,0.2983954846858978,0.2473232895135879,0.348526120185852,36.0,0.0,,"楊中生13歲加入幫派, 在街頭混跡,擔任組織軍師角色。 雖然荒廢學業,但默默自學電腦技術。 脫離幫派後憑藉這些知識創業,在業界闖出一片天。 一場颱風天的經歷讓他信主, 之後投入教會服事。 放下事業成為全職牧師, 帶領教會電腦化... 雖然醫生診斷他和太太都不孕, 但神卻賜給他們兩個女兒... 他帶著孩子參與海外宣教, 讓她們看見世界的需要。 如今擔任海外宣教牧師, 在福音相對貧瘠的地區服事。 他相信每個人都有價值, 願意成為幫助他人的明哲人, 讓生命因信仰而改變。 👇👇詳細完整的故事請搜尋👇👇 🔍Youtube、GOODTV+搜尋真情部落格《改變一生的決定》|ft.楊中生 🔎",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/truelove_goodtv.official/images/3726552573227812876_64250668314.jpg,0.2473232895135879,"一位年過95歲的美籍醫生, 當年懷著赴非洲宣教的夢想, 卻因一封來自福爾摩沙的信, 改變了人生方向。 譚維義醫師不但在台灣偏鄉行醫救人、傳揚福音, 幫助小兒麻痺患者重獲新生, 更創立了台東基督教醫院。 他巧妙改造農場擠奶器成為醫材設備、 為貧困病患募款、教導當地護理人員, 用愛與智慧克服各種挑戰, 無私奉獻33年歲月給臺灣。 這不僅是一段醫者仁心的見證, 更是一個用生命回應上帝呼召的感人故事。 👇👇詳細完整的故事請搜尋👇👇 🔍Youtube、GOODTV+搜尋真情部落格《後山天使》|ft. 譚維義🔎",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/truelove_goodtv.official/images/3640303977221683035_64250668314.jpg,0.348526120185852,一致,無,無明顯影響,,是,
multimodal_false_positive_top10,multimodal_false_positive_top10,4,ksitigarbha_dizangwang,0,0.7187582126011004,0.6530564627921109,0.0657017498089894,FP,Low,0.2401092457585036,0.9383102655410768,0.3484527497514231,1,0.6325015425682068,0.3165906383918283,1,False,FP,False,64.0,0.0242824440142775,0.2373213171958923,0.2258628197014331,0.2542366832494735,0.1648698449134826,0.3056461811065674,3.0,33.0,,"四聖諦@ 佛陀教導我們,苦的存在,必須理解;苦的來源,必須放下;苦的斷滅,必須證悟;滅苦的道,必須修行。 理解「苦」,不是僅僅漫不經心地接受苦的概念,而需要嚴肅認真的思惟。 這自然會引領我們去面對「集」:苦的根源。 只有真正認清它,才能放下苦的根源,此時「滅」才有意義。 通過修行,我們能培養正確的見解、禪修和行止,以斷滅自己的苦。 而踐行大乘教法之「道」,我們則能努力戰勝一切有情眾生之苦。 去修行,去培養正確的見、修、行,取決於每個人自己。 當如此做時,我們就是在清除遮蔽自己內在佛性的客塵。 出處🙏🏻阿曲祖古仁波切🌷",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/ksitigarbha_dizangwang/images/3872279777688994059_54329542329.jpg,0.1648698449134826,"འཛམ་གླིང་ཞི་བདེ་ཡོང་བར་སྨོན། 🌼🙏 愿世界和平! གལ་ཏེ་དད་སེམས་ཀྱི་ངང་ནས་སློབ་དཔོན་པད་འབྱུང་ལ་སེམས་གཅིག་གིས་ཨོཾ་ཨཱཿ ཧཱུྃ་བཛྲ་གུ་རུ་པདྨ་སིདྡྷི་ཧཱུྃ་ཞེས་གསོལ་འདེབས་བརྗོད་ན་བཀྲ་མི་ཤིས་པའི་སྔ་ལྟས་དང་རང་ལོ། དགྲ་འཁྲུགས། ལྟས་ངན། ན་ཚ། ཆག་སྒོ། ཉམས་ལེན་སོགས་ལ་བར་ཆད་མེད་པར་འགྱུར་ཞིང་བསམ་དོན་མྱུར་དུ་འགྲུབ་པར་འགྱུར་རོ།། 若虔诚祈祷莲花生大士,一心念诵莲师心咒“嗡啊吽班匝格热班玛色德吽”,可化解一切不祥,如本命年、争斗、恶兆、疾病、横祸等,修行无有任何障碍,迅速成就所愿。 དེས་ན་འཛམ་གླིང་ལ་ཞི་བདེ་ཡོང་ཆེད་དང་ཕྱོགས་སོ་སོ་ན་དགྲ་འཁྲུགས་སོགས་མྱུར་དུ་མེད་པའི་ཕྱིར་དུའམ། དེར་རྐྱེན་ལམ་དུ་སོང་བ། རྨས་སྐྱོན་ཕོག་པ་དག་ལ་བསྔོ་སྨོན་གྱི་ཚབ་ཏུ། འཕྲིན་འདི་མཐོང་མ་ཐག་རབ་ན་སིདྡྷི་ཚར་བརྒྱ་དང་བརྒྱད། མ་མཐའ་ཡང་ཚར་གསུམ་རེ་བཏོན་ཏེ་གཞན་ལ་བརྒྱུད་བསྐུར་བྱེད་རོགས། 所以看到此信,我邀请你念一百零八遍或三遍莲师心咒,为了世界和平,为了化解争斗,为了此战争中遇到灾难的众生,把此文传递下去,我们一起祈愿!回向!愿平安。 出處🙏🏻阿曲祖古仁波切🌷",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/ksitigarbha_dizangwang/images/3849566576374829213_54329542329.jpg,0.3056461811065674,一致,無,無明顯影響,,否,
multimodal_false_positive_top10,multimodal_false_positive_top10,4,kimi_hello,0,0.6926880809922434,0.7680569610888394,-0.0753688800965959,FP,Medium,0.2608691179193556,0.812716543674469,0.3484527497514231,1,1.1973720788955688,0.3165906383918283,1,False,FP,False,64.0,0.0301036501809076,0.2620688378810882,0.243192546069622,0.2763716652989387,0.1829021424055099,0.3293420672416687,11.0,14.0,,"一月份快樂🤍 走到現在才明白,幸福不是等來的 是自己一步一步走出來的 有夢想很好 更重要的是願意為自己做計畫 把想要的生活,慢慢走成現實 想要健康與幸福 就溫柔的堅持,認真的計畫",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/kimi_hello/images/3823532855046266042_35351342062.jpg,0.1829021424055099,"🌟存 20 年差 600 萬,關鍵就在這裡!🌟 不要再覺得 「時間早一點晚一點沒差」 「標的選什麼好像也差不多」 其實差很大! 你的選擇,早就默默決定了你未來站在哪個位置 我們來做一個很真實、很殘酷、但也很清楚的試算 假設條件都一樣: 👉 一開始 100 萬,投資 20 年,全部投入(all in) 📌 定存 年利率約 1.7% 20 年後的金額:約 1,400,938 元 努力存、很安心 但 20 年過去,幾乎只是「保住本金」 📌 存股 1(6%) 一樣 100 萬 20 年後的金額:約 3,207,135 元 沒有多做什麼 只是把錢放在「會幫你工作的地方」 結果,資產直接翻倍以上 📌 存股 2(6%)+每月再多存 1 萬 一樣的 100 萬起手 只是每個月多存 10,000 元 20 年後的金額:約 7,732,799 元 不是中樂透 不是神操作 只是 時間 + 選擇 + 一點點紀律 結果,人生直接換一個等級 🎯股市中 6% 的標的難找嗎? 其實不難 大家熟知的 0056、00878、00919 過去本來就多次出現過接近或超過 6% 的表現 (我有附上圖片) 沒有推薦,只是事實 🌟看到這裡 你還會覺得「好像沒差」嗎? 其實差的從來不是金額 真正重要的不是一次賺多少 ❤️而是: 你什麼時候開始 你選了什麼標的 你能不能撐得夠久 •┈┈┈┈┈┈୨୧┈┈┈┈┈┈• 我是一位靠股息退休的媽媽 希望用自己的經驗,讓你在存股路上少走彎路 一起找回生活的平衡與勇氣❤️ 87 #退休理財#存錢#00878 免責聲明: 本內容僅為個人觀點和經驗分享,不構成投資或財務建議。投資股票及借貸均存在風險,可能造成損失。投資者應自行承擔風險,謹慎考慮投資目標、風險承受能力和財務狀況,並聽取專業建議。我無法對你的損失負責。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/kimi_hello/images/3824867298893716660_35351342062.jpg,0.3293420672416687,一致,無,幫助,,是,
