群組,N,Mean,SD,Median,Q1,Q3
全部有效貼文,16355,0.2643,0.0347,0.2680,0.2404,0.2881
Positive users,7263,0.2655,0.0336,0.2713,0.2418,0.2888
Negative users,9092,0.2634,0.0355,0.2651,0.2394,0.2875
TP,5942,0.2683,0.0314,0.2744,0.2487,0.2896
FP,2146,0.2646,0.0334,0.2698,0.2418,0.2886
FN,1321,0.2531,0.0398,0.2491,0.2245,0.2786
TN,6946,0.2630,0.0361,0.2635,0.2386,0.2869
High alignment,4089,0.3055,0.0192,0.3002,0.2933,0.3108
Medium alignment,8177,0.2665,0.0135,0.2680,0.2551,0.2781
Low alignment,4089,0.2187,0.0171,0.2228,0.2097,0.2319
