群組,N,Mean delta_p,SD,Median,Min,Max,|delta_p| >= 0.10
全部使用者,292,0.0044,0.0758,0.0101,-0.2927,0.3001,45
Positive users,130,0.0089,0.0765,0.0123,-0.2438,0.3001,23
Negative users,162,0.0007,0.0752,0.0084,-0.2927,0.2924,22
High alignment users,73,0.0056,0.0866,0.0144,-0.2927,0.3001,11
Medium alignment users,145,0.0075,0.0745,0.0106,-0.2821,0.2190,25
Low alignment users,73,-0.0038,0.0671,0.0033,-0.2438,0.1247,9
TP,107,0.0180,0.0708,0.0161,-0.2438,0.3001,16
FP,38,0.0217,0.0876,0.0294,-0.1374,0.2924,7
FN,23,-0.0332,0.0889,-0.0236,-0.2192,0.2186,7
TN,124,-0.0058,0.0701,0.0005,-0.2927,0.1757,15
