fold,author,label,text_probability,multimodal_probability,delta_p,user_alignment_group,multimodal_error_type
0,painwords.yan,1,0.4776,0.7777,0.3001,High,TP
3,huhuzo1225,0,0.4518,0.1592,-0.2927,High,TN
0,who.loved.by.jesus,0,0.5154,0.8077,0.2924,High,FP
1,hao_emo520,0,0.6046,0.3225,-0.2821,Medium,TN
4,shan_min33,1,0.9093,0.6656,-0.2438,Low,TP
3,mindfullyhk,1,0.4415,0.2223,-0.2192,High,FN
1,mu._.studaily,1,0.2034,0.4224,0.2190,Medium,TP
3,will_be._.fine,1,0.1369,0.3555,0.2186,Medium,FN
2,poem_chao,1,0.5977,0.7936,0.1959,Medium,TP
3,chrislin_0208,0,0.3809,0.1952,-0.1856,Low,TN
3,ryouliao,0,0.0376,0.2133,0.1757,Medium,TN
2,psylee01,0,0.2708,0.4366,0.1658,Medium,FP
3,yi_wen_even,1,0.3602,0.1954,-0.1648,Medium,FN
0,yuehchungsu,0,0.3371,0.1771,-0.1599,Medium,TN
3,thepetpope,0,0.1921,0.3514,0.1594,Medium,TN
3,powxd01,0,0.3349,0.1764,-0.1584,Medium,TN
4,opheliecc,1,0.7321,0.5765,-0.1555,High,TP
0,sunrise1225,1,0.7509,0.6039,-0.1470,Low,TP
3,cancerfighter211,1,0.7016,0.8460,0.1444,Medium,TP
3,zoezoeliao,1,0.3232,0.1835,-0.1397,Low,FN
