bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,6,0.0900044777557432,0.0,0.0900044777557432
1,0.1,0.2,20,0.13710866492019563,0.2,0.06289133507980438
2,0.2,0.30000000000000004,4,0.23888973472096658,0.5,0.2611102652790334
3,0.30000000000000004,0.4,4,0.34264426804469933,0.25,0.09264426804469933
4,0.4,0.5,5,0.43793012337238946,0.4,0.037930123372389435
5,0.5,0.6000000000000001,1,0.5968781140861722,1.0,0.4031218859138278
6,0.6000000000000001,0.7000000000000001,3,0.6553198724091764,1.0,0.34468012759082356
7,0.7000000000000001,0.8,4,0.7412377392421687,0.75,0.008762260757831264
8,0.8,0.9,7,0.8487017595780871,0.8571428571428571,0.008441097564769962
9,0.9,1.0,4,0.9200422823293455,1.0,0.07995771767065452
