bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,2,0.2883430944153554,0.0,0.2883430944153554
3,0.30000000000000004,0.4,20,0.3446245634399977,0.15,0.1946245634399977
4,0.4,0.5,14,0.4608594958592465,0.5,0.039140504140753485
5,0.5,0.6000000000000001,15,0.5487045993933158,0.6666666666666666,0.11796206727335079
6,0.6000000000000001,0.7000000000000001,7,0.6633755475467661,0.8571428571428571,0.193767309596091
7,0.7000000000000001,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
