bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,2,0.08909410327096305,0.0,0.08909410327096305
1,0.1,0.2,6,0.16499796280710652,0.0,0.16499796280710652
2,0.2,0.30000000000000004,11,0.2389936256809028,0.18181818181818182,0.05717544386272097
3,0.30000000000000004,0.4,6,0.34184369394806097,0.16666666666666666,0.1751770272813943
4,0.4,0.5,3,0.44713547791946334,1.0,0.5528645220805366
5,0.5,0.6000000000000001,8,0.5618416235450008,0.5,0.06184162354500078
6,0.6000000000000001,0.7000000000000001,6,0.6591938745161899,1.0,0.34080612548381006
7,0.7000000000000001,0.8,7,0.7404672451694138,0.42857142857142855,0.3118958165979852
8,0.8,0.9,7,0.8644427510656171,0.8571428571428571,0.007299893922759981
9,0.9,1.0,2,0.9153289390870278,0.5,0.41532893908702784
