bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,3,0.08050835183206616,0.0,0.08050835183206616
1,0.1,0.2,12,0.14279427437711764,0.08333333333333333,0.05946094104378431
2,0.2,0.30000000000000004,4,0.24857350544389437,0.0,0.24857350544389437
3,0.30000000000000004,0.4,4,0.3224755538911525,0.25,0.07247555389115251
4,0.4,0.5,4,0.46518037283492675,0.0,0.46518037283492675
5,0.5,0.6000000000000001,7,0.5767968893608364,0.5714285714285714,0.005368317932264999
6,0.6000000000000001,0.7000000000000001,2,0.63297075100972,1.0,0.36702924899028
7,0.7000000000000001,0.8,6,0.7547266091131356,0.5,0.2547266091131356
8,0.8,0.9,3,0.8586411825687632,1.0,0.1413588174312368
9,0.9,1.0,13,0.9374405036446691,0.9230769230769231,0.014363580567746004
