bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,17,0.06468895174026469,0.0,0.06468895174026469
1,0.1,0.2,11,0.15945714049579404,0.45454545454545453,0.2950883140496605
2,0.2,0.30000000000000004,4,0.24700918290429055,0.5,0.2529908170957095
3,0.30000000000000004,0.4,1,0.3510475419906676,0.0,0.3510475419906676
4,0.4,0.5,2,0.41911357580475506,1.0,0.5808864241952449
5,0.5,0.6000000000000001,6,0.565263162871387,0.5,0.065263162871387
6,0.6000000000000001,0.7000000000000001,2,0.6681433375000336,0.5,0.16814333750003363
7,0.7000000000000001,0.8,5,0.7636972223002141,0.6,0.1636972223002141
8,0.8,0.9,4,0.8263427733259162,0.75,0.07634277332591621
9,0.9,1.0,8,0.9504892089836243,0.875,0.07548920898362432
