bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,8,0.18473394731483284,0.0,0.18473394731483284
2,0.2,0.30000000000000004,16,0.24580093363090988,0.1875,0.05830093363090988
3,0.30000000000000004,0.4,8,0.3383043789704193,0.625,0.2866956210295807
4,0.4,0.5,10,0.4455947207792749,0.7,0.25440527922072503
5,0.5,0.6000000000000001,3,0.5569748347815121,0.3333333333333333,0.2236415014481788
6,0.6000000000000001,0.7000000000000001,3,0.6631058701363174,0.6666666666666666,0.0035607965303492417
7,0.7000000000000001,0.8,5,0.7269469735546925,0.6,0.12694697355469253
8,0.8,0.9,5,0.8523579734553998,1.0,0.14764202654460024
9,0.9,1.0,0,,,
