bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,8,0.3725700465542788,0.125,0.24757004655427878
4,0.4,0.5,22,0.44218321967190505,0.2727272727272727,0.16945594694463234
5,0.5,0.6000000000000001,17,0.5301202258855644,0.5882352941176471,0.05811506823208268
6,0.6000000000000001,0.7000000000000001,11,0.6261929140787493,0.8181818181818182,0.1919889041030689
7,0.7000000000000001,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
