bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,25,0.04878578411319097,0.12,0.07121421588680903
1,0.1,0.2,3,0.15082433319046884,0.0,0.15082433319046884
2,0.2,0.30000000000000004,3,0.25207051968748767,0.3333333333333333,0.08126281364584564
3,0.30000000000000004,0.4,3,0.3490856824212651,0.3333333333333333,0.015752349087931772
4,0.4,0.5,1,0.47436436057836134,1.0,0.5256356394216386
5,0.5,0.6000000000000001,1,0.503039110277605,1.0,0.49696088972239505
6,0.6000000000000001,0.7000000000000001,7,0.6567571723273644,0.7142857142857143,0.05752854195834989
7,0.7000000000000001,0.8,3,0.7596341700067676,0.6666666666666666,0.09296750334010095
8,0.8,0.9,2,0.8400490691267581,1.0,0.15995093087324186
9,0.9,1.0,10,0.9521015024499808,1.0,0.04789849755001918
