bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,1,0.09464227210238937,0.0,0.09464227210238937
1,0.1,0.2,11,0.15562238643009618,0.09090909090909091,0.06471329552100527
2,0.2,0.30000000000000004,7,0.23935603503152256,0.0,0.23935603503152256
3,0.30000000000000004,0.4,4,0.31296385418253647,0.25,0.06296385418253647
4,0.4,0.5,11,0.46294855065793766,0.45454545454545453,0.008403096112483133
5,0.5,0.6000000000000001,6,0.5491829216443086,0.3333333333333333,0.21584958831097528
6,0.6000000000000001,0.7000000000000001,2,0.6581550428022098,1.0,0.3418449571977902
7,0.7000000000000001,0.8,8,0.764632996573676,0.875,0.110367003426324
8,0.8,0.9,4,0.8451053227486309,1.0,0.15489467725136907
9,0.9,1.0,4,0.9215476072094468,1.0,0.07845239279055316
