bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,17,0.04630565615477922,0.058823529411764705,0.012517873256985487
1,0.1,0.2,7,0.14041872724588725,0.2857142857142857,0.14529555846839845
2,0.2,0.30000000000000004,2,0.2576118013454495,0.5,0.24238819865455052
3,0.30000000000000004,0.4,3,0.3667828510752746,0.6666666666666666,0.29988381559139204
4,0.4,0.5,2,0.4477218048790309,1.0,0.5522781951209691
5,0.5,0.6000000000000001,5,0.549900688319411,0.4,0.14990068831941095
6,0.6000000000000001,0.7000000000000001,0,,,
7,0.7000000000000001,0.8,3,0.7404066772251697,0.6666666666666666,0.0737400105585031
8,0.8,0.9,5,0.844795832881179,0.6,0.244795832881179
9,0.9,1.0,14,0.9576471272694179,0.7857142857142857,0.17193284155513222
