bin,bin_lower,bin_upper,count,confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,10,0.1615926023965643,0.0,0.1615926023965643
2,0.2,0.30000000000000004,7,0.2417128870731193,0.14285714285714285,0.09885574421597645
3,0.30000000000000004,0.4,7,0.36080859495324796,0.2857142857142857,0.07509430923896226
4,0.4,0.5,7,0.4304645985593006,0.8571428571428571,0.4266782585835565
5,0.5,0.6000000000000001,5,0.5558055036636296,0.4,0.15580550366362955
6,0.6000000000000001,0.7000000000000001,8,0.6635385675750852,0.5,0.16353856757508523
7,0.7000000000000001,0.8,7,0.7543351148229746,0.8571428571428571,0.10280774231988254
8,0.8,0.9,7,0.8616622130597563,0.7142857142857143,0.14737649877404202
9,0.9,1.0,0,,,
