experiment,method,noise_rate,repeat,seed,n_changed_labels,n_samples,auc,macro_f1,sensitivity,specificity,ece_10,brier,nll
original,text_bert,0.0,0,20260807,0,292,0.8948243114909782,0.8173600047205996,0.8307692307692308,0.808641975308642,0.04616761983399286,0.1290033028066844,0.40825875367357556
label_flip,text_bert,0.05,0,20260857,15,292,0.8561498084834727,0.7866704374057316,0.7894736842105263,0.7861635220125787,0.05245082871274582,0.1532340200703978,0.479506104149135
label_flip,text_bert,0.05,1,20260858,15,292,0.8566687212555117,0.7933474876150035,0.8015267175572519,0.7888198757763976,0.054082503227509356,0.1541141805538651,0.48245255535341536
label_flip,text_bert,0.05,2,20260859,15,292,0.8448103078024338,0.7721662647183998,0.7874015748031497,0.7636363636363637,0.056340238084132084,0.15536767277289884,0.4909180314323535
label_flip,text_bert,0.05,3,20260860,15,292,0.8404570461278036,0.7665867306155076,0.7553956834532374,0.7777777777777778,0.06676765729939853,0.16261834210743134,0.5076795574384871
label_flip,text_bert,0.05,4,20260861,15,292,0.8427305389221558,0.7787878787878788,0.8,0.7664670658682635,0.05958407097677622,0.15346010740949437,0.490153451728807
label_flip,text_bert,0.1,0,20260907,29,292,0.820729220994737,0.7451285680585045,0.7480916030534351,0.7453416149068323,0.08324988200965369,0.17839455890850786,0.5440006036903418
label_flip,text_bert,0.1,1,20260908,29,292,0.8078214403934363,0.7453808446455505,0.7443609022556391,0.7484276729559748,0.08565987603214707,0.18140322702272027,0.5627983515959758
label_flip,text_bert,0.1,2,20260909,29,292,0.8165133286152395,0.7456086649399576,0.7407407407407407,0.7515923566878981,0.08054358983101799,0.17506913674545915,0.5422493854057977
label_flip,text_bert,0.1,3,20260910,29,292,0.8210299401197605,0.7511363636363637,0.768,0.7425149700598802,0.06075723290963686,0.1698794371591099,0.5317283361262312
label_flip,text_bert,0.1,4,20260911,29,292,0.8315987756063103,0.7732919254658386,0.7664233576642335,0.7806451612903226,0.09500380825210261,0.17430817903002557,0.5337244798727909
label_flip,text_bert,0.2,0,20261007,58,292,0.7195018796992482,0.6602855631940772,0.6428571428571429,0.6776315789473685,0.15401577017032642,0.23386299213791625,0.7162683623860822
label_flip,text_bert,0.2,1,20261008,58,292,0.7235983102918587,0.6714165570993686,0.6774193548387096,0.6726190476190477,0.1396989415836737,0.22919285966325584,0.7011783225951808
label_flip,text_bert,0.2,2,20261009,58,292,0.7566197183098591,0.7020233417394874,0.6733333333333333,0.7323943661971831,0.13150692942222353,0.21791340825303698,0.6724276234796465
label_flip,text_bert,0.2,3,20261010,58,292,0.7518351214003388,0.7150013523207,0.7028985507246377,0.7272727272727273,0.12582572606032177,0.21461603523251238,0.6590630575126638
label_flip,text_bert,0.2,4,20261011,58,292,0.748170045045045,0.6949156521841212,0.6736111111111112,0.7162162162162162,0.11976919482786069,0.21777002868542616,0.6799335713312096
label_permutation,text_bert,1.0,0,20270807,144,292,0.514292497625831,0.48654039062960996,0.46153846153846156,0.5123456790123457,0.31634313516504264,0.35344953893013026,1.0695333049344349
