fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
1,_lydiawong,0,0,0.18367592977480265,0.337888240814209,-0.6727191209793091,1,rolling
1,_lydiawong,0,1,0.2921215690556155,0.43316900730133057,-0.26893317699432373,2,rolling
1,_lydiawong,0,2,0.330505144440315,0.4626609683036804,-0.14963464438915253,3,rolling
1,_lydiawong,0,3,0.3287109101330364,0.46131736040115356,-0.15504029393196106,4,rolling
1,_lydiawong,0,4,0.3543612497239767,0.4802396893501282,-0.07908250391483307,5,rolling
1,_lydiawong,0,5,0.3697822493485514,0.4913432002067566,-0.03463062644004822,6,rolling
1,_lydiawong,0,6,0.39002469258836836,0.5056456327438354,0.022583499550819397,7,rolling
1,_lydiawong,0,7,0.3939429304145628,0.5083812475204468,0.033528223633766174,8,rolling
1,_lydiawong,0,8,0.43992211486963056,0.5398014187812805,0.15954317152500153,8,rolling
1,_lydiawong,0,9,0.4416763139504068,0.5409780740737915,0.16428084671497345,8,rolling
1,_lydiawong,0,10,0.44056703609204206,0.5402341485023499,0.1612854152917862,8,rolling
1,_lydiawong,0,11,0.4549870389694088,0.5498613715171814,0.2001107633113861,8,rolling
1,_lydiawong,0,12,0.4307372346926267,0.5336161255836487,0.13466788828372955,8,rolling
1,_lydiawong,0,13,0.42627552721964207,0.5305963754653931,0.1225387454032898,8,rolling
1,_lydiawong,0,14,0.41664243377749927,0.5240406394004822,0.09623691439628601,8,rolling
1,_lydiawong,0,15,0.41289448957692104,0.5214762091636658,0.08595778048038483,8,rolling
1,_lydiawong,0,16,0.3956086097205918,0.5095411539077759,0.03816930949687958,8,rolling
1,_lydiawong,0,17,0.3896539090658675,0.505386233329773,0.021545767784118652,8,rolling
1,_lydiawong,0,18,0.3798234446715995,0.49847450852394104,-0.006102070212364197,8,rolling
1,_lydiawong,0,19,0.36204714865674187,0.4857975244522095,-0.05682511627674103,8,rolling
1,_lydiawong,0,20,0.38063119756727937,0.49904492497444153,-0.003820165991783142,8,rolling
1,_lydiawong,0,21,0.3681197461955311,0.4901551902294159,-0.03938426077365875,8,rolling
1,_lydiawong,0,22,0.3667362654143012,0.48916497826576233,-0.043346911668777466,8,rolling
1,_lydiawong,0,23,0.3627803181963008,0.486325204372406,-0.05471281707286835,8,rolling
1,_lydiawong,0,24,0.3630547499985341,0.4865225851535797,-0.053922638297080994,8,rolling
1,_lydiawong,0,25,0.37956545995778906,0.4982922077178955,-0.006831273436546326,8,rolling
1,_lydiawong,0,26,0.38162690636415997,0.49974751472473145,-0.0010098516941070557,8,rolling
1,_lydiawong,0,27,0.3978658628702497,0.5111101269721985,0.04444795846939087,8,rolling
1,_lydiawong,0,28,0.3877288355207876,0.5040379762649536,0.016152188181877136,8,rolling
1,_lydiawong,0,29,0.40506402854883955,0.5160921216011047,0.06439085304737091,8,rolling
1,_lydiawong,0,30,0.4053933922108497,0.5163193345069885,0.0653005987405777,8,rolling
1,_lydiawong,0,31,0.4176844122977535,0.5247521996498108,0.09908990561962128,8,rolling
1,_lydiawong,0,32,0.4248788174939627,0.5296489596366882,0.1187351793050766,8,rolling
1,_lydiawong,0,33,0.40054135225636,0.5129656791687012,0.05187433958053589,8,rolling
1,_lydiawong,0,34,0.41039616751583846,0.5197623372077942,0.07909055054187775,8,rolling
1,_lydiawong,0,35,0.4011736360874259,0.5134035348892212,0.053626954555511475,8,rolling
1,_lydiawong,0,36,0.4015759680364792,0.5136820077896118,0.054741695523262024,8,rolling
1,_lydiawong,0,37,0.4035139596695171,0.5150220394134521,0.060106173157691956,8,rolling
1,_lydiawong,0,38,0.4006303130538336,0.5130273103713989,0.052120983600616455,8,rolling
1,_lydiawong,0,39,0.39227976042679435,0.5072213411331177,0.028887271881103516,8,rolling
1,_lydiawong,0,40,0.38457762656873423,0.5018254518508911,0.0073019713163375854,8,rolling
1,_lydiawong,0,41,0.3898500425360811,0.5055235028266907,0.022094741463661194,8,rolling
1,_lydiawong,0,42,0.3864292519665834,0.503126323223114,0.012505531311035156,8,rolling
1,_lydiawong,0,43,0.395698991157377,0.5096040368080139,0.03842094540596008,8,rolling
1,_lydiawong,0,44,0.4082502242452517,0.5182872414588928,0.07318177819252014,8,rolling
1,_lydiawong,0,45,0.3886464258527908,0.5046809315681458,0.018724262714385986,8,rolling
1,_lydiawong,0,46,0.3934146433196628,0.5080130100250244,0.032054826617240906,8,rolling
1,_lydiawong,0,47,0.37798102555106405,0.4971715211868286,-0.011313974857330322,8,rolling
1,_lydiawong,0,48,0.3929040588458309,0.5076569318771362,0.030630141496658325,8,rolling
1,_lydiawong,0,49,0.3981095213763017,0.5112793445587158,0.045124977827072144,8,rolling
1,_lydiawong,0,50,0.39906082072473437,0.5119394659996033,0.047766879200935364,8,rolling
1,_lydiawong,0,51,0.3849337536940583,0.5020758509635925,0.008303508162498474,8,rolling
1,_lydiawong,0,52,0.3704054064816098,0.49178794026374817,-0.03285109996795654,8,rolling
1,_lydiawong,0,53,0.36696931182169357,0.48933184146881104,-0.042678967118263245,8,rolling
1,_lydiawong,0,54,0.3529643967784626,0.4792242646217346,-0.08315065503120422,8,rolling
1,_lydiawong,0,55,0.366189473904875,0.4887731373310089,-0.04491479694843292,8,rolling
1,_lydiawong,0,56,0.35799419381926056,0.48287278413772583,-0.06853564083576202,8,rolling
