fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
3,cancerfighter211,1,0,0.16383769118072772,0.348666787147522,-0.6249046325683594,1,rolling
3,cancerfighter211,1,1,0.31585703683745986,0.4793325364589691,-0.08271694928407669,2,rolling
3,cancerfighter211,1,2,0.3691770734983026,0.5168166160583496,0.06729204952716827,3,rolling
3,cancerfighter211,1,3,0.4228113190910793,0.5521386861801147,0.20931577682495117,4,rolling
3,cancerfighter211,1,4,0.44115218130187556,0.5638020038604736,0.2566068470478058,5,rolling
3,cancerfighter211,1,5,0.42133494894275675,0.5511917471885681,0.20548692345619202,6,rolling
3,cancerfighter211,1,6,0.4398518633534998,0.5629809498786926,0.253269225358963,7,rolling
3,cancerfighter211,1,7,0.4509006119864132,0.5699301362037659,0.28156620264053345,8,rolling
3,cancerfighter211,1,8,0.5013084285354027,0.6009730696678162,0.4095211625099182,8,rolling
3,cancerfighter211,1,9,0.48460363393157146,0.5907915830612183,0.3672385811805725,8,rolling
3,cancerfighter211,1,10,0.47668921736380226,0.5859338641166687,0.3471812605857849,8,rolling
3,cancerfighter211,1,11,0.47104445494575947,0.5824546813964844,0.3328583240509033,8,rolling
3,cancerfighter211,1,12,0.4680095999781739,0.5805789232254028,0.32515019178390503,8,rolling
3,cancerfighter211,1,13,0.4863934611734876,0.5918869376182556,0.3717714250087738,8,rolling
3,cancerfighter211,1,14,0.46788752253881144,0.5805033445358276,0.3248400092124939,8,rolling
3,cancerfighter211,1,15,0.4759269206885338,0.5854647755622864,0.3452479839324951,8,rolling
3,cancerfighter211,1,16,0.46402444236721807,0.578109860420227,0.3150191903114319,8,rolling
3,cancerfighter211,1,17,0.4892957015321433,0.5936607718467712,0.3791196942329407,8,rolling
3,cancerfighter211,1,18,0.5081765574120155,0.6051337122917175,0.42690229415893555,8,rolling
3,cancerfighter211,1,19,0.5109584813408,0.6068151593208313,0.43394434452056885,8,rolling
3,cancerfighter211,1,20,0.49754892692452213,0.5986895561218262,0.400007963180542,8,rolling
3,cancerfighter211,1,21,0.509041435307302,0.6056566834449768,0.4290914535522461,8,rolling
3,cancerfighter211,1,22,0.5253609599327106,0.6154877543449402,0.47043943405151367,8,rolling
3,cancerfighter211,1,23,0.5209855867636355,0.6128585338592529,0.45934396982192993,8,rolling
