fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
3,edachen_yun,0,0,0.4495144949283377,0.5690616369247437,0.2780236005783081,1,rolling
3,edachen_yun,0,1,0.4993436591447167,0.599780261516571,0.4045494496822357,2,rolling
3,edachen_yun,0,2,0.44336361977648997,0.5651962757110596,0.26227837800979614,3,rolling
3,edachen_yun,0,3,0.46972846718407374,0.5816417336463928,0.32951658964157104,4,rolling
3,edachen_yun,0,4,0.4775682082073772,0.5864745378494263,0.34941014647483826,5,rolling
3,edachen_yun,0,5,0.45205838944565657,0.5706549286842346,0.28452372550964355,6,rolling
3,edachen_yun,0,6,0.46286923847771516,0.5773929357528687,0.3120803236961365,7,rolling
3,edachen_yun,0,7,0.4628103010003038,0.5773563385009766,0.3119303584098816,8,rolling
3,edachen_yun,0,8,0.4580412937013593,0.5743903517723083,0.2997865676879883,8,rolling
3,edachen_yun,0,9,0.43408007272960103,0.5593262314796448,0.23842808604240417,8,rolling
3,edachen_yun,0,10,0.4371761005718501,0.5612888932228088,0.24639442563056946,8,rolling
3,edachen_yun,0,11,0.43732168553648076,0.5613809823989868,0.24676871299743652,8,rolling
3,edachen_yun,0,12,0.4344141304854663,0.5595381855964661,0.23928827047348022,8,rolling
3,edachen_yun,0,13,0.458239162088428,0.5745136141777039,0.3002907931804657,8,rolling
3,edachen_yun,0,14,0.43029743933926234,0.5569214224815369,0.22867700457572937,8,rolling
3,edachen_yun,0,15,0.3994416413060849,0.5369918346405029,0.14823827147483826,8,rolling
3,edachen_yun,0,16,0.4040208698768001,0.5399872660636902,0.16029134392738342,8,rolling
3,edachen_yun,0,17,0.4144427443284534,0.5467537641525269,0.1875630021095276,8,rolling
3,edachen_yun,0,18,0.41781578765254607,0.5489292144775391,0.19634538888931274,8,rolling
3,edachen_yun,0,19,0.4170611504133111,0.5484431385993958,0.19438230991363525,8,rolling
3,edachen_yun,0,20,0.4205625781451671,0.5506957769393921,0.20348238945007324,8,rolling
3,edachen_yun,0,21,0.4158410589742419,0.5476564168930054,0.19120627641677856,8,rolling
3,edachen_yun,0,22,0.4044072358873825,0.5402393341064453,0.1613062620162964,8,rolling
3,edachen_yun,0,23,0.4472284201586797,0.5676271915435791,0.27217650413513184,8,rolling
3,edachen_yun,0,24,0.4550373664835343,0.572516918182373,0.29212746024131775,8,rolling
3,edachen_yun,0,25,0.46767063579629126,0.5803691148757935,0.32428890466690063,8,rolling
3,edachen_yun,0,26,0.4819328390554917,0.5891548991203308,0.36047273874282837,8,rolling
3,edachen_yun,0,27,0.46213001890503014,0.5769338607788086,0.31019920110702515,8,rolling
3,edachen_yun,0,28,0.4604016362277461,0.575859546661377,0.3057992458343506,8,rolling
3,edachen_yun,0,29,0.44467384913467506,0.566021203994751,0.2656359076499939,8,rolling
3,edachen_yun,0,30,0.4825106933509088,0.5895091891288757,0.3619368076324463,8,rolling
3,edachen_yun,0,31,0.46855395130483946,0.5809155702590942,0.3265331983566284,8,rolling
3,edachen_yun,0,32,0.46420666398969274,0.5782229900360107,0.3154826760292053,8,rolling
3,edachen_yun,0,33,0.4629227539501035,0.5774261951446533,0.31221649050712585,8,rolling
3,edachen_yun,0,34,0.46725107703565133,0.5801094770431519,0.32322272658348083,8,rolling
3,edachen_yun,0,35,0.4804365582338142,0.5882368087768555,0.35668113827705383,8,rolling
3,edachen_yun,0,36,0.45517950928375916,0.5726056098937988,0.29249006509780884,8,rolling
3,edachen_yun,0,37,0.4738692311469137,0.5841972827911377,0.34002798795700073,8,rolling
3,edachen_yun,0,38,0.47611929996735824,0.5855832099914551,0.34573590755462646,8,rolling
3,edachen_yun,0,39,0.4744493020396195,0.5845547914505005,0.3414997458457947,8,rolling
3,edachen_yun,0,40,0.4746348585444331,0.5846691131591797,0.3419705033302307,8,rolling
3,edachen_yun,0,41,0.4598032239463959,0.5754873156547546,0.3042753040790558,8,rolling
3,edachen_yun,0,42,0.4580400306794497,0.5743895769119263,0.2997833490371704,8,rolling
3,edachen_yun,0,43,0.46164403039575164,0.5766319036483765,0.30896225571632385,8,rolling
3,edachen_yun,0,44,0.4679947506151237,0.5805696845054626,0.3251124620437622,8,rolling
3,edachen_yun,0,45,0.46870763043326175,0.581010639667511,0.3269236087799072,8,rolling
