fold,user_id,label,position,risk_prob,raw_prob,logit,n_posts_used,mode
3,zongyi0929,0,0,0.525808323203299,0.6157563328742981,0.47157442569732666,1,rolling
3,zongyi0929,0,1,0.5116902476984246,0.607257068157196,0.43579697608947754,2,rolling
3,zongyi0929,0,2,0.5246431486830414,0.6150567531585693,0.4686185121536255,3,rolling
3,zongyi0929,0,3,0.5250630866896943,0.615308940410614,0.46968376636505127,4,rolling
3,zongyi0929,0,4,0.4979979856859358,0.5989625453948975,0.4011442959308624,5,rolling
3,zongyi0929,0,5,0.4637069366724511,0.5779129266738892,0.31421154737472534,6,rolling
3,zongyi0929,0,6,0.4674664037379424,0.5802427530288696,0.3237699270248413,7,rolling
3,zongyi0929,0,7,0.4704770967725932,0.5821042656898499,0.3314177393913269,8,rolling
3,zongyi0929,0,8,0.4572265936057109,0.5738826394081116,0.297710120677948,8,rolling
3,zongyi0929,0,9,0.44324345185533526,0.5651205778121948,0.2619703412055969,8,rolling
3,zongyi0929,0,10,0.43612093185321343,0.5606205463409424,0.24368083477020264,8,rolling
3,zongyi0929,0,11,0.4433560277020529,0.5651914477348328,0.262258917093277,8,rolling
3,zongyi0929,0,12,0.4400748372841244,0.5631218552589417,0.25384169816970825,8,rolling
3,zongyi0929,0,13,0.43370886355345184,0.5590905547142029,0.2374720573425293,8,rolling
3,zongyi0929,0,14,0.41245258110842953,0.5454668998718262,0.18237146735191345,8,rolling
3,zongyi0929,0,15,0.38425109327669377,0.5269510746002197,0.10790903866291046,8,rolling
3,zongyi0929,0,16,0.3675936612550261,0.5157415270805359,0.06298704445362091,8,rolling
3,zongyi0929,0,17,0.36382146825670997,0.5131718516349792,0.05269961059093475,8,rolling
3,zongyi0929,0,18,0.3456314421146324,0.5006047487258911,0.002418920397758484,8,rolling
3,zongyi0929,0,19,0.3285668648898431,0.48852771520614624,-0.045897260308265686,8,rolling
3,zongyi0929,0,20,0.31838918904114366,0.4811789393424988,-0.07531996071338654,8,rolling
